frAmidine,frNH1,HeteroaromaticRingCount,HeteroaliphaticRingCount,CyclomaticNumber,CarboaromaticRingCount,CarboaliphaticRingCount,CarboRingCount,frImine,frGuanido,frAr NH,AromaticAtomCount,AliphaticRingCount,frNH0,frPiperdine,frPyridine,AromaticRingCount,AtomCountN,LargestRingSize,acceptorcount,RingAtomCount,Accsitecount,donorcount,Hacceptorcount,Hdonorcount,frQuatN,SmallestRingSize,frNH2,donsitecount,RotatableBondCount,AtomCountC,ChainAtomCount,PolarSurfaceArea,AliphaticAtomCount,WienerPolarity,BondCount,BalabanIndex,WienerIndex,HyperWienerIndex,MolPol,MinimalProjectionRadius,MaximalProjectionRadius,maximalprojectionsize,LengthPerpendicularToTheMaxArea,LengthPerpendicularToTheMinArea,AvgPol,minimalprojectionsize,MinimalProjectionArea,ASAP,Refractivity,ASA,VanderWaalsSurfaceArea,ASAH,ASA-,ASA+,VanderWaalsVolume,MaximalProjectionArea,_rxn_organic-inchikey,Chemical Name,Chemical Abbreviation,Molecular Weight (g/mol),Density            (g/mL),InChI=,Chemical Category,Canonical SMILES String,Molecular Formula
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,2,0,0,4,2,4,6,32.08,6,3,19,2.63,32,58,11.03,3.13,4.55,5.31,5.31,9.08,11.57,9.08,22.95,56.48,50.25,275.35,202.37,218.87,46.05,229.29,109.27,39.14,BAMDIFIROXTEEM-UHFFFAOYSA-N,"N,N-Dimethylethane- 1,2-diammonium iodide",NNDimethylethane12diammoniumiodide,343.98,2.180165,"InChI=1S/C4H12N2.2HI/c1-6(2)4-3-5;;/h3-5H2,1-2H3;2*1H",organic,C[NH+](C)CC[NH3+].[I-].[I-],C4H14I2N2
0,1,1,0,1,0,0,0,0,0,1,6,0,0,0,1,1,1,6,0,6,0,1,0,1,0,6,0,1,0,5,0,14.14,0,3,12,2.0,27,42,9.68,3.39,3.62,3.4,3.4,7.22,8.66,7.22,19.09,54.82,25.16,239.88,132.81,185.06,17.39,222.49,80.02,33.64,BJDYCCHRZIFCGN-UHFFFAOYSA-N,Pyridinium Iodide,PyridiniumIodide,207.01,2.051533,InChI=1S/C5H5N.HI/c1-2-4-6-5-3-1;/h1-5H;1H,organic,C1=CC=[NH+]C=C1.[I-],C5H6IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,2,4,5,27.64,5,2,16,2.19,20,35,9.57,2.69,4.57,5.42,5.42,9.15,10.0,9.15,18.77,48.89,35.09,273.98,173.44,225.09,70.99,202.99,93.45,34.38,CALQKRVFTWDYDG-UHFFFAOYSA-N,n-Butylammonium iodide,n-BuNH3I,201.05,1.686302,"InChI=1S/C4H11N.HI/c1-2-3-4-5;/h2-5H2,1H3;1H",organic,CCCC[NH3+].[I-],C4H12IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,1,5,6,27.64,6,3,19,3.17,28,44,11.42,3.38,3.96,6.2,6.2,7.87,11.59,7.87,27.08,36.88,39.35,254.69,207.49,217.8,59.57,195.11,110.9,34.29,CQWGDVVCKBJLNX-UHFFFAOYSA-N,neo-Pentylammonium iodide,neoPentylammoniumIodide,215.02,1.555659,"InChI=1S/C5H13N.HI/c1-5(2,3)4-6;/h4,6H2,1-3H3;1H",organic,[I-].CC(C)(C)C[NH3+],C5H14IN
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,5,0,5,0,1,0,1,1,5,1,2,0,4,0,16.61,5,0,15,1.67,15,20,8.83,3.23,3.17,6.13,6.13,6.42,8.95,6.42,22.96,25.71,33.65,219.25,149.68,193.54,32.61,186.64,82.42,28.06,DMFMZFFIQRMJQZ-UHFFFAOYSA-N,Pyrrolidinium Iodide,PyrrolidiniumIodide,199.04,1.88354,"InChI=1S/C4H9N.HI/c1-2-4-5-3-1;/h5H,1-4H2;1H",organic,C1CC[NH2+]C1.[I-],C4H10IN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,1,4,5,27.64,5,2,16,2.54,18,28,9.57,3.12,3.96,5.27,5.27,7.79,9.83,7.79,22.47,42.54,34.96,248.05,172.19,205.51,58.23,189.82,93.65,34.13,FCTHQYIDLRRROX-UHFFFAOYSA-N,iso-Butylammonium iodide,iButylammoniumIodide,201.05,1.682582,"InChI=1S/C4H11N.HI/c1-4(2)3-5;/h4H,3,5H2,1-2H3;1H",organic,[I-].CC(C)C[NH3+],C4H12IN
0,0,0,0,1,1,0,1,0,0,0,6,0,0,0,0,1,1,6,0,6,0,1,0,1,1,6,0,3,0,6,2,27.64,2,7,15,2.19,62,115,11.42,3.35,4.29,3.97,3.97,8.57,10.83,8.57,20.46,84.41,41.21,256.13,163.01,171.72,32.62,223.51,101.09,40.17,FJFIJIDZQADKEE-UHFFFAOYSA-N,4-Fluoro-Phenylammonium iodide,4FluoroPhenylammoniumIodide,239.03,2.014867,"InChI=1S/C6H6FN.HI/c7-5-1-3-6(8)4-2-5;/h1-4H,8H2;1H",organic,C1(=CC=C(C=C1)F)[NH3+].[I-],C6H7FIN
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,2,1,2,0,0,2,4,0,2,4,51.61,4,0,10,2.32,9,12,6.57,3.14,3.23,4.26,4.26,6.02,6.58,6.02,17.01,72.7,27.86,212.36,110.9,139.66,39.44,172.93,62.84,26.37,GGYGJCFIYJVWIP-UHFFFAOYSA-N,Acetamidinium iodide,AcNH3I,185.97,2.176639,"InChI=1S/C2H6N2.HI/c1-2(3)4;/h1H3,(H3,3,4);1H",organic,CC(=[NH2+])N.[I-],C2H7IN2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,3,1,3,4,27.64,4,1,13,1.97,10,15,7.73,2.71,3.94,5.19,5.19,7.6,8.03,7.6,18.32,49.49,30.48,243.38,142.9,193.89,65.57,177.81,76.51,28.68,GIAPQOZCVIEHNY-UHFFFAOYSA-N,N-propylammonium Iodide,NPropylammoniumIodide,186.99,1.843205,"InChI=1S/C3H9N.HI/c1-2-3-4;/h2-4H2,1H3;1H",organic,[I-].[NH3+]CCC,C3H10IN
0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,6,0,6,0,1,0,1,1,6,1,2,0,5,0,16.61,6,3,18,2.0,27,42,10.68,3.59,3.68,5.27,5.27,7.07,10.82,7.07,26.88,22.25,38.25,228.15,178.29,205.89,55.57,172.57,99.74,34.63,HBPSMMXRESDUSG-UHFFFAOYSA-N,Piperidinium Iodide,PiperidiniumIodide,213.06,1.720983,"InChI=1S/C5H11N.HI/c1-2-4-6-5-3-1;/h6H,1-5H2;1H",organic,C1CC[NH2+]CC1.[I-],C5H12IN
