ASA,ASA+,ASA-,ASAH,ASAP,Accsitecount,AliphaticAtomCount,AliphaticRingCount,AromaticAtomCount,AromaticRingCount,AtomCountC,AtomCountN,AvgPol,BalabanIndex,BondCount,CarboRingCount,CarboaliphaticRingCount,CarboaromaticRingCount,ChainAtomCount,ChiralCenterCount,CyclomaticNumber,Hacceptorcount,Hdonorcount,HeteroaliphaticRingCount,HeteroaromaticRingCount,HyperWienerIndex,LargestRingSize,LengthPerpendicularToTheMaxArea,LengthPerpendicularToTheMinArea,MaximalProjectionArea,MaximalProjectionRadius,MinimalProjectionArea,MinimalProjectionRadius,MolPol,PolarSurfaceArea,Refractivity,RingAtomCount,RotatableBondCount,SmallestRingSize,VanderWaalsSurfaceArea,VanderWaalsVolume,WienerIndex,WienerPolarity,acceptorcount,donorcount,donsitecount,frArN,frAr NH,frImine,frNH0,frNH1,frNH2,frAmidine,frDihydropyridine,frGuanido,frPiperdine,frPiperzine,frPyridine,frQuatN,maximalprojectionsize,minimalprojectionsize
275.35,229.29,46.05,218.87,56.48,0,6,0,0,0,4,2,11.57,2.63,19,0,0,0,6,0,0,0,2,0,0,58,0,5.31,9.08,39.14,4.55,22.95,3.13,11.03,32.08,50.25,0,2,0,202.37,109.27,32,3,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,5.31,9.08
239.88,222.49,17.39,185.06,54.82,0,0,0,6,1,5,1,8.66,2.0,12,0,0,0,0,0,1,0,1,0,1,42,6,3.4,7.22,33.64,3.62,19.09,3.39,9.68,14.14,25.16,6,0,6,132.81,80.02,27,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,3.4,7.22
273.98,202.99,70.99,225.09,48.89,0,5,0,0,0,4,1,10.0,2.19,16,0,0,0,5,0,0,0,1,0,0,35,0,5.42,9.15,34.38,4.57,18.77,2.69,9.57,27.64,35.09,0,2,0,173.44,93.45,20,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.42,9.15
254.69,195.11,59.57,217.8,36.88,0,6,0,0,0,5,1,11.59,3.17,19,0,0,0,6,0,0,0,1,0,0,44,0,6.2,7.87,34.29,3.96,27.08,3.38,11.42,27.64,39.35,0,1,0,207.49,110.9,28,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,6.2,7.87
219.25,186.64,32.61,193.54,25.71,0,5,1,0,0,4,1,8.95,1.67,15,0,0,0,0,0,1,0,1,1,0,20,5,6.13,6.42,28.06,3.17,22.96,3.23,8.83,16.61,33.65,5,0,5,149.68,82.42,15,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,6.13,6.42
248.05,189.82,58.23,205.51,42.54,0,5,0,0,0,4,1,9.83,2.54,16,0,0,0,5,0,0,0,1,0,0,28,0,5.27,7.79,34.13,3.96,22.47,3.12,9.57,27.64,34.96,0,1,0,172.19,93.65,18,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.27,7.79
256.13,223.51,32.62,171.72,84.41,0,2,0,6,1,6,1,10.83,2.19,15,1,0,1,2,0,1,0,1,0,0,115,6,3.97,8.57,40.17,4.29,20.46,3.35,11.42,27.64,41.21,6,0,6,163.01,101.09,62,7,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3.97,8.57
212.36,172.93,39.44,139.66,72.7,1,4,0,0,0,2,2,6.58,2.32,10,0,0,0,4,0,0,1,2,0,0,12,0,4.26,6.02,26.37,3.23,17.01,3.14,6.57,51.61,27.86,0,0,0,110.9,62.84,9,0,1,2,4,0,0,0,0,0,2,1,0,0,0,0,0,0,4.26,6.02
243.38,177.81,65.57,193.89,49.49,0,4,0,0,0,3,1,8.03,1.97,13,0,0,0,4,0,0,0,1,0,0,15,0,5.19,7.6,28.68,3.94,18.32,2.71,7.73,27.64,30.48,0,1,0,142.9,76.51,10,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.19,7.6
228.15,172.57,55.57,205.89,22.25,0,6,1,0,0,5,1,10.82,2.0,18,0,0,0,0,0,1,0,1,1,0,42,6,5.27,7.07,34.63,3.68,26.88,3.59,10.68,16.61,38.25,6,0,6,178.29,99.74,27,3,0,1,2,0,0,0,0,0,1,0,0,0,1,0,0,1,5.27,7.07
394.28,297.41,96.87,351.81,42.47,0,9,0,0,0,8,1,18.22,2.6,28,0,0,0,9,0,0,0,1,0,0,330,0,5.48,14.18,57.88,7.17,24.43,3.21,16.96,27.64,53.49,0,6,0,295.58,161.41,120,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,5.48,14.18
209.1,191.47,17.63,111.65,97.45,0,4,0,0,0,2,2,7.76,1.97,13,0,0,0,4,0,0,0,2,0,0,15,0,5.1,7.75,28.03,3.88,17.79,2.69,7.34,55.28,40.45,0,1,0,131.32,73.86,10,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,2,5.1,7.75
163.99,144.73,19.26,62.03,101.96,1,5,1,0,0,3,2,6.88,1.67,10,0,0,0,0,0,1,1,2,1,0,20,5,4.07,6.06,25.56,3.18,17.26,2.91,7.48,28.97,30.65,5,0,5,89.55,62.81,15,0,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,4.07,6.06
308.89,244.08,64.81,251.42,57.48,0,7,0,0,0,5,2,13.6,2.68,22,0,0,0,7,0,0,0,2,0,0,108,0,5.66,10.09,44.72,5.19,24.96,3.28,12.87,32.08,55.11,0,3,0,232.97,126.21,52,4,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,2,5.66,10.09
