_rxn_organic-inchikey,WienerPolarity,BondCount,frNH0,Refractivity,LargestRingSize,frArN,HeteroaliphaticRingCount,frQuatN,AromaticAtomCount,AtomCountC,frAmidine,CyclomaticNumber,LengthPerpendicularToTheMinArea,frGuanido,donorcount,frNH2,minimalprojectionsize,AtomCountN,ChiralCenterCount,WienerIndex,AvgPol,donsitecount,Hacceptorcount,ASA-,frAr NH,HeteroaromaticRingCount,Accsitecount,acceptorcount,ASA,CarboaromaticRingCount,BalabanIndex,SmallestRingSize,RingAtomCount,PolarSurfaceArea,MinimalProjectionArea,MaximalProjectionArea,CarboRingCount,CarboaliphaticRingCount,VanderWaalsSurfaceArea,ASAH,ASA+,frPiperdine,AliphaticAtomCount,AliphaticRingCount,AromaticRingCount,LengthPerpendicularToTheMaxArea,HyperWienerIndex,MolPol,frImine,frDihydropyridine,frPiperzine,RotatableBondCount,maximalprojectionsize,ChainAtomCount,MinimalProjectionRadius,VanderWaalsVolume,ASAP,frNH1,MaximalProjectionRadius,Hdonorcount,frPyridine
BAMDIFIROXTEEM-UHFFFAOYSA-N,3,19,0,50.25,0,0,0,2,0,4,0,0,9.08,0,2,0,9.08,2,0,32,11.57,4,0,46.05,0,0,0,0,275.35,0,2.63,0,0,32.08,22.95,39.14,0,0,202.37,218.87,229.29,0,6,0,0,5.31,58,11.03,0,0,0,2,5.31,6,3.13,109.27,56.48,1,4.55,2,0
BJDYCCHRZIFCGN-UHFFFAOYSA-N,3,12,0,25.16,6,0,0,0,6,5,0,1,7.22,0,1,0,7.22,1,0,27,8.66,1,0,17.39,1,1,0,0,239.88,0,2.0,6,6,14.14,19.09,33.64,0,0,132.81,185.06,222.49,0,0,0,1,3.4,42,9.68,0,0,0,0,3.4,0,3.39,80.02,54.82,1,3.62,1,1
CALQKRVFTWDYDG-UHFFFAOYSA-N,2,16,0,35.09,0,0,0,1,0,4,0,0,9.15,0,1,0,9.15,1,0,20,10.0,3,0,70.99,0,0,0,0,273.98,0,2.19,0,0,27.64,18.77,34.38,0,0,173.44,225.09,202.99,0,5,0,0,5.42,35,9.57,0,0,0,2,5.42,5,2.69,93.45,48.89,0,4.57,1,0
CQWGDVVCKBJLNX-UHFFFAOYSA-N,3,19,0,39.35,0,0,0,1,0,5,0,0,7.87,0,1,0,7.87,1,0,28,11.59,3,0,59.57,0,0,0,0,254.69,0,3.17,0,0,27.64,27.08,34.29,0,0,207.49,217.8,195.11,0,6,0,0,6.2,44,11.42,0,0,0,1,6.2,6,3.38,110.9,36.88,0,3.96,1,0
DMFMZFFIQRMJQZ-UHFFFAOYSA-N,0,15,0,33.65,5,0,1,1,0,4,0,1,6.42,0,1,1,6.42,1,0,15,8.95,2,0,32.61,0,0,0,0,219.25,0,1.67,5,5,16.61,22.96,28.06,0,0,149.68,193.54,186.64,0,5,1,0,6.13,20,8.83,0,0,0,0,6.13,0,3.23,82.42,25.71,0,3.17,1,0
FCTHQYIDLRRROX-UHFFFAOYSA-N,2,16,0,34.96,0,0,0,1,0,4,0,0,7.79,0,1,0,7.79,1,0,18,9.83,3,0,58.23,0,0,0,0,248.05,0,2.54,0,0,27.64,22.47,34.13,0,0,172.19,205.51,189.82,0,5,0,0,5.27,28,9.57,0,0,0,1,5.27,5,3.12,93.65,42.54,0,3.96,1,0
FJFIJIDZQADKEE-UHFFFAOYSA-N,7,15,0,41.21,6,0,0,1,6,6,0,1,8.57,0,1,0,8.57,1,0,62,10.83,3,0,32.62,0,0,0,0,256.13,1,2.19,6,6,27.64,20.46,40.17,1,0,163.01,171.72,223.51,0,2,0,1,3.97,115,11.42,0,0,0,0,3.97,2,3.35,101.09,84.41,0,4.29,1,0
GGYGJCFIYJVWIP-UHFFFAOYSA-N,0,10,0,27.86,0,0,0,0,0,2,1,0,6.02,0,2,2,6.02,2,0,9,6.58,4,1,39.44,0,0,1,1,212.36,0,2.32,0,0,51.61,17.01,26.37,0,0,110.9,139.66,172.93,0,4,0,0,4.26,12,6.57,0,0,0,0,4.26,4,3.14,62.84,72.7,0,3.23,2,0
GIAPQOZCVIEHNY-UHFFFAOYSA-N,1,13,0,30.48,0,0,0,1,0,3,0,0,7.6,0,1,0,7.6,1,0,10,8.03,3,0,65.57,0,0,0,0,243.38,0,1.97,0,0,27.64,18.32,28.68,0,0,142.9,193.89,177.81,0,4,0,0,5.19,15,7.73,0,0,0,1,5.19,4,2.71,76.51,49.49,0,3.94,1,0
HBPSMMXRESDUSG-UHFFFAOYSA-N,3,18,0,38.25,6,0,1,1,0,5,0,1,7.07,0,1,1,7.07,1,0,27,10.82,2,0,55.57,0,0,0,0,228.15,0,2.0,6,6,16.61,26.88,34.63,0,0,178.29,205.89,172.57,1,6,1,0,5.27,42,10.68,0,0,0,0,5.27,0,3.59,99.74,22.25,0,3.68,1,0
HBZSVMFYMAOGRS-UHFFFAOYSA-N,6,28,0,53.49,0,0,0,1,0,8,0,0,14.18,0,1,0,14.18,1,0,120,18.22,3,0,96.87,0,0,0,0,394.28,0,2.6,0,0,27.64,24.43,57.88,0,0,295.58,351.81,297.41,0,9,0,0,5.48,330,16.96,0,0,0,6,5.48,9,3.21,161.41,42.47,0,7.17,1,0
IWNWLPUNKAYUAW-UHFFFAOYSA-N,1,13,0,40.45,0,0,0,2,0,2,0,0,7.75,0,2,0,7.75,2,0,10,7.76,6,0,17.63,0,0,0,0,209.1,0,1.97,0,0,55.28,17.79,28.03,0,0,131.32,111.65,191.47,0,4,0,0,5.1,15,7.34,0,0,0,1,5.1,4,2.69,73.86,97.45,0,3.88,2,0
