metrica,pre,rec,spe,f1,geo,iba,sup,matthew,estimator
0,0.9136069114470843,0.9296703296703297,0.6428571428571429,0.9215686274509804,0.7730751657703966,0.6147864647126812,455.0,0.5889845130860464,knn
1,0.6923076923076923,0.6428571428571429,0.9296703296703297,0.6666666666666666,0.7730751657703966,0.5805039591491711,112.0,0.5889845130860464,knn
avg_pre,0.8698934854442414,0.8698934854442414,0.8698934854442414,0.8698934854442414,0.8698934854442414,0.8698934854442414,0.8698934854442414,0.5889845130860464,knn
avg_rec,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.873015873015873,0.5889845130860464,knn
avg_spe,0.6995115995115996,0.6995115995115996,0.6995115995115996,0.6995115995115996,0.6995115995115996,0.6995115995115996,0.6995115995115996,0.5889845130860464,knn
avg_f1,0.8712176228516099,0.8712176228516099,0.8712176228516099,0.8712176228516099,0.8712176228516099,0.8712176228516099,0.8712176228516099,0.5889845130860464,knn
avg_geo,0.7730751657703965,0.7730751657703965,0.7730751657703965,0.7730751657703965,0.7730751657703965,0.7730751657703965,0.7730751657703965,0.5889845130860464,knn
avg_iba,0.6080146117618643,0.6080146117618643,0.6080146117618643,0.6080146117618643,0.6080146117618643,0.6080146117618643,0.6080146117618643,0.5889845130860464,knn
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.5889845130860464,knn
0,0.9411764705882353,0.6681318681318681,0.8303571428571429,0.781491002570694,0.7448409689818245,0.5457880043818033,455.0,0.400842834221167,lg
1,0.38114754098360654,0.8303571428571429,0.6681318681318681,0.5224719101123595,0.7448409689818245,0.5637881337657631,112.0,0.400842834221167,lg
avg_pre,0.8305534721478148,0.8305534721478148,0.8305534721478148,0.8305534721478148,0.8305534721478148,0.8305534721478148,0.8305534721478148,0.400842834221167,lg
avg_rec,0.7001763668430335,0.7001763668430335,0.7001763668430335,0.7001763668430335,0.7001763668430335,0.7001763668430335,0.7001763668430335,0.400842834221167,lg
avg_spe,0.7983126441459774,0.7983126441459774,0.7983126441459774,0.7983126441459774,0.7983126441459774,0.7983126441459774,0.7983126441459774,0.400842834221167,lg
avg_f1,0.7303267373937391,0.7303267373937391,0.7303267373937391,0.7303267373937391,0.7303267373937391,0.7303267373937391,0.7303267373937391,0.400842834221167,lg
avg_geo,0.7448409689818245,0.7448409689818245,0.7448409689818245,0.7448409689818245,0.7448409689818245,0.7448409689818245,0.7448409689818245,0.400842834221167,lg
avg_iba,0.5493435854946842,0.5493435854946842,0.5493435854946842,0.5493435854946842,0.5493435854946842,0.5493435854946842,0.5493435854946842,0.400842834221167,lg
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.400842834221167,lg
0,0.9688385269121813,0.7516483516483516,0.9017857142857143,0.8465346534653465,0.8233017342887652,0.6676490487044353,455.0,0.5366884418532727,svm_rbf
1,0.4719626168224299,0.9017857142857143,0.7516483516483516,0.6196319018404908,0.8233017342887652,0.6880024426613419,112.0,0.5366884418532727,svm_rbf
avg_pre,0.8706901989932181,0.8706901989932181,0.8706901989932181,0.8706901989932181,0.8706901989932181,0.8706901989932181,0.8706901989932181,0.5366884418532727,svm_rbf
avg_rec,0.781305114638448,0.781305114638448,0.781305114638448,0.781305114638448,0.781305114638448,0.781305114638448,0.781305114638448,0.5366884418532727,svm_rbf
avg_spe,0.872128951295618,0.872128951295618,0.872128951295618,0.872128951295618,0.872128951295618,0.872128951295618,0.872128951295618,0.5366884418532727,svm_rbf
avg_f1,0.8017143568480911,0.8017143568480911,0.8017143568480911,0.8017143568480911,0.8017143568480911,0.8017143568480911,0.8017143568480911,0.5366884418532727,svm_rbf
avg_geo,0.8233017342887652,0.8233017342887652,0.8233017342887652,0.8233017342887652,0.8233017342887652,0.8233017342887652,0.8233017342887652,0.5366884418532727,svm_rbf
avg_iba,0.6716694722020959,0.6716694722020959,0.6716694722020959,0.6716694722020959,0.6716694722020959,0.6716694722020959,0.6716694722020959,0.5366884418532727,svm_rbf
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.5366884418532727,svm_rbf
0,0.9587912087912088,0.7670329670329671,0.8660714285714286,0.8522588522588522,0.8150492853316438,0.6577261596576501,455.0,0.5257645833047905,rf
1,0.47783251231527096,0.8660714285714286,0.7670329670329671,0.6158730158730159,0.8150492853316438,0.6708845153815964,112.0,0.5257645833047905,rf
avg_pre,0.8637870218329988,0.8637870218329988,0.8637870218329988,0.8637870218329988,0.8637870218329988,0.8637870218329988,0.8637870218329988,0.5257645833047905,rf
avg_rec,0.7865961199294532,0.7865961199294532,0.7865961199294532,0.7865961199294532,0.7865961199294532,0.7865961199294532,0.7865961199294532,0.5257645833047905,rf
avg_spe,0.8465082756749424,0.8465082756749424,0.8465082756749424,0.8465082756749424,0.8465082756749424,0.8465082756749424,0.8465082756749424,0.5257645833047905,rf
avg_f1,0.8055653537135019,0.8055653537135019,0.8055653537135019,0.8055653537135019,0.8055653537135019,0.8055653537135019,0.8055653537135019,0.5257645833047905,rf
avg_geo,0.8150492853316438,0.8150492853316438,0.8150492853316438,0.8150492853316438,0.8150492853316438,0.8150492853316438,0.8150492853316438,0.5257645833047905,rf
avg_iba,0.6603253410352197,0.6603253410352197,0.6603253410352197,0.6603253410352197,0.6603253410352197,0.6603253410352197,0.6603253410352197,0.5257645833047905,rf
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.5257645833047905,rf
0,0.906054279749478,0.9538461538461539,0.5982142857142857,0.9293361884368309,0.755383608244444,0.5908969063217003,455.0,0.6070049654985686,gbc
1,0.7613636363636364,0.5982142857142857,0.9538461538461539,0.6699999999999999,0.755383608244444,0.5503118848870909,112.0,0.6070049654985686,gbc
avg_pre,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.8774734119201759,0.6070049654985686,gbc
avg_rec,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.8835978835978836,0.6070049654985686,gbc
avg_spe,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.668462555962556,0.6070049654985686,gbc
avg_f1,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.8781092870172099,0.6070049654985686,gbc
avg_geo,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.755383608244444,0.6070049654985686,gbc
avg_iba,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.5828801119642466,0.6070049654985686,gbc
total_support,567.0,567.0,567.0,567.0,567.0,567.0,567.0,0.6070049654985686,gbc
0,0.9279475982532751,0.9340659340659341,0.7053571428571429,0.9309967141292441,0.8116958041612237,0.6739185589969292,455.0,0.6460364584724482,voting_single+ensemble_vs_voting.csv
1,0.7247706422018348,0.7053571428571429,0.9340659340659341,0.7149321266968326,0.8116958041612237,0.6437815979889419,112.0,0.6460364584724482,voting_single+ensemble_vs_voting.csv
avg_pre,0.8878138785394103,0.8878138785394103,0.8878138785394103,0.8878138785394103,0.8878138785394103,0.8878138785394103,0.8878138785394103,0.6460364584724482,voting_single+ensemble_vs_voting.csv
