tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_weighted,precision_macro,recall_micro,recall_weighted,recall_macro,f1_weighted,f1_macro,matthew
75,18,5,2,0.1,0.25,0.77,0.8788750000000001,0.51875,0.77,0.77,0.5460829493087558,0.8167287518732604,0.5076000856347677,0.05878963512522154
78,17,2,3,0.1,0.25,0.81,0.93375,0.5625,0.81,0.81,0.7105263157894737,0.8588571428571429,0.5657142857142856,0.22941573387056177
72,15,8,5,0.1,0.25,0.77,0.8155,0.575,0.77,0.77,0.6061007957559682,0.7895735801125022,0.5826528760660498,0.17841031003501578
71,12,9,8,0.1,0.25,0.79,0.8046249999999999,0.64375,0.79,0.79,0.6630049610205528,0.7965809981760902,0.6517990383021057,0.3061500491373762
71,20,9,0,0.1,0.25,0.71,0.807625,0.44375,0.71,0.71,0.3901098901098901,0.755672514619883,0.4152046783625731,-0.15724272550828777
71,12,9,8,0.1,0.25,0.79,0.8046249999999999,0.64375,0.79,0.79,0.6630049610205528,0.7965809981760902,0.6517990383021057,0.3061500491373762
69,14,11,6,0.1,0.25,0.75,0.766875,0.58125,0.75,0.75,0.5921332388377037,0.7578345216382028,0.585475045597745,0.17304133212112568
74,19,6,1,0.1,0.25,0.75,0.86375,0.48750000000000004,0.75,0.75,0.4692780337941628,0.80079212160137,0.4647827017769214,-0.03919309008348103
69,18,11,2,0.1,0.25,0.71,0.763375,0.48125,0.71,0.71,0.473474801061008,0.7346797314461986,0.4737797133006714,-0.044602577508753946
71,20,9,0,0.1,0.25,0.71,0.807625,0.44375,0.71,0.71,0.3901098901098901,0.755672514619883,0.4152046783625731,-0.15724272550828777
72,19,8,1,0.1,0.25,0.73,0.8235000000000001,0.47500000000000003,0.73,0.73,0.4511599511599511,0.7725226860254084,0.45553539019963707,-0.06988565578146122
74,17,6,3,0.1,0.25,0.77,0.85525,0.5375,0.77,0.77,0.5732600732600732,0.8062230288364589,0.5361968138737648,0.10482848367219184
73,20,7,0,0.1,0.25,0.73,0.848625,0.45625,0.73,0.73,0.3924731182795699,0.7848554913294798,0.42196531791907516,-0.1371758152921836
