tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,recall_micro,recall_macro,f1_macro,f1_weighted,matthew
508,109,49,35,0.1,0.25,0.7746077032810271,0.5775421404348693,0.7746077032810271,0.6200027012425716,0.5862174601751396,0.7985049857046068,0.1929276166059712
505,140,52,4,0.1,0.25,0.7261055634807418,0.4672102533413126,0.7261055634807418,0.42718715393133994,0.44013311148086526,0.7763362536523768,-0.09772440383219262
499,124,58,20,0.1,0.25,0.7403708987161198,0.5173798124875324,0.7403708987161198,0.5286866691361074,0.5129714460222935,0.7717035999223673,0.04465731431590704
502,133,55,11,0.1,0.25,0.7318116975748931,0.48882281069220024,0.7318116975748931,0.4786089238845144,0.4735218919782678,0.772843479319367,-0.030925207015658616
494,123,63,21,0.1,0.25,0.7346647646219686,0.5163637043686415,0.7346647646219686,0.5253241491085899,0.512888908813772,0.7627970084877018,0.04071348127588025
494,141,63,3,0.1,0.25,0.7089871611982882,0.45386370436864154,0.7089871611982882,0.4117036506800286,0.42871524448705656,0.7535110094742067,-0.12765056169709393
516,131,41,13,0.1,0.25,0.7546362339514978,0.5083345800917614,0.7546362339514978,0.5191338943270937,0.49422799422799424,0.8012301535839339,0.02525652190911979
508,125,49,19,0.1,0.25,0.7517831669044223,0.5219865848793138,0.7517831669044223,0.540969705417712,0.5165133978119549,0.7883486115895499,0.060026124500820774
503,136,54,8,0.1,0.25,0.7289586305278174,0.4793038100937562,0.7289586305278174,0.45809985360189814,0.45940351332922036,0.77361220549809,-0.05889561569266534
517,124,40,20,0.1,0.25,0.7660485021398002,0.5335378017155396,0.7660485021398002,0.5699427977119085,0.5295918033323513,0.8060130146142988,0.09686542584621373
495,118,62,26,0.1,0.25,0.7432239657631954,0.5346224815479752,0.7432239657631954,0.5514793118789856,0.5351458885941645,0.7680691093057664,0.08443557367917016
510,137,47,7,0.1,0.25,0.7375178316690443,0.48211525034909236,0.7375178316690443,0.4589415536092507,0.45894157522064505,0.7873624898804876,-0.05419668014754277
504,121,53,23,0.1,0.25,0.7517831669044223,0.5322848094953122,0.7517831669044223,0.5545157894736842,0.530941393631749,0.783004041296401,0.08390546770370666
511,140,46,4,0.1,0.25,0.7346647646219686,0.47259624975064835,0.7346647646219686,0.43247311827956986,0.4436318017341435,0.7886235388062992,-0.08603463957695594
511,130,46,14,0.1,0.25,0.7489300998573466,0.5073184719728706,0.7489300998573466,0.5152626105044201,0.49517169138106,0.7918188449519304,0.02113754831662731
497,130,60,14,0.1,0.25,0.7289586305278174,0.49475114701775386,0.7289586305278174,0.49092633303159616,0.4839836969997521,0.7644622440826095,-0.013802368481824388
499,122,58,22,0.1,0.25,0.7432239657631954,0.5243242569319768,0.7432239657631954,0.5392713365539452,0.521813606597138,0.7729310160496266,0.061814111023302726
498,127,59,17,0.1,0.25,0.7346647646219686,0.5060654797526432,0.7346647646219686,0.5102421052631578,0.498592524227042,0.7680388027651184,0.01576366481477246
507,122,50,22,0.1,0.25,0.7546362339514978,0.5315055854777578,0.7546362339514978,0.5557984455043279,0.5293392042970457,0.7880823909311278,0.08385613142430584
497,124,60,20,0.1,0.25,0.7375178316690443,0.5155844803510872,0.7375178316690443,0.5251610305958132,0.5111872422992966,0.7678850386285072,0.03960412033784132
512,143,45,1,0.1,0.25,0.7318116975748931,0.4630772491522043,0.7318116975748931,0.40170925987387984,0.42770540211915936,0.7901334528677736,-0.12048509465194726
501,118,56,26,0.1,0.25,0.7517831669044223,0.540008477957311,0.7517831669044223,0.5632215611332204,0.5410646559508759,0.7792874778078324,0.10058625025370489
512,109,45,35,0.1,0.25,0.7803138373751783,0.5811328047077599,0.7803138373751783,0.6309883252818036,0.590884974533107,0.8057298692869028,0.2061790504788019
503,120,54,24,0.1,0.25,0.7517831669044223,0.5348593656493118,0.7517831669044223,0.5575379676503271,0.534379294548786,0.7817386065191863,0.08957091164080064
515,126,42,18,0.1,0.25,0.760342368045649,0.5247980251346499,0.760342368045649,0.5517160686427457,0.5181184326819208,0.8012816247268425,0.07162280000301825
495,128,62,16,0.1,0.25,0.7289586305278174,0.499900259325753,0.7289586305278174,0.49983537062188743,0.4915635974958009,0.7616685933255484,-0.00025628300898655407
503,118,54,26,0.1,0.25,0.7546362339514978,0.5418038100937562,0.7546362339514978,0.5674919484702093,0.5430663351928208,0.7830229708918656,0.10623409239422556
503,128,54,16,0.1,0.25,0.7403708987161198,0.507081587871534,0.7403708987161198,0.5128594068372199,0.49816702854086026,0.7771739508577402,0.019085598706205423
500,133,57,11,0.1,0.25,0.7289586305278174,0.487027478555755,0.7289586305278174,0.47582706068209274,0.47205485967972094,0.7688864149541065,-0.0354166047876972
494,125,63,19,0.1,0.25,0.7318116975748931,0.5094192599241971,0.7318116975748931,0.514884353205406,0.5041388236710613,0.7615289990107614,0.02368118169731195
503,128,54,16,0.1,0.25,0.7403708987161198,0.507081587871534,0.7403708987161198,0.5128594068372199,0.49816702854086026,0.7771739508577402,0.019085598706205423
498,125,59,19,0.1,0.25,0.7375178316690443,0.5130099241970876,0.7375178316690443,0.5214738445075524,0.5076194838906704,0.7691948482731626,0.033428914984683644
496,137,61,7,0.1,0.25,0.717546362339515,0.46954792539397566,0.717546362339515,0.44325573831428305,0.4498255906136039,0.7591553166363847,-0.08313796943195619
504,133,53,11,0.1,0.25,0.7346647646219686,0.4906181428286456,0.7346647646219686,0.4815418956043956,0.47499516814843457,0.7768018188164569,-0.026318913282543467
504,139,53,5,0.1,0.25,0.7261055634807418,0.4697848094953122,0.7261055634807418,0.4350163565184748,0.44475247524752476,0.7745952740780497,-0.08862264197106737
504,123,53,21,0.1,0.25,0.7489300998573466,0.5253403650508678,0.7489300998573466,0.543805767489978,0.5220059509050335,0.7818176576765224,0.0666349499746035
512,125,45,19,0.1,0.25,0.7574893009985735,0.5255772491522043,0.7574893009985735,0.550321330455259,0.5201568741141607,0.7960016623591275,0.07175182803872149
511,144,46,0,0.1,0.25,0.7289586305278174,0.45870736086175945,0.7289586305278174,0.3900763358778626,0.4216171617161716,0.7879008300259411,-0.13474476903165603
501,132,56,12,0.1,0.25,0.7318116975748931,0.4913973668461999,0.7318116975748931,0.48396989127404516,0.47761217694625013,0.7713191895335367,-0.023486263626632455
501,114,56,30,0.1,0.25,0.7574893009985735,0.5538973668461998,0.7574893009985735,0.5817356778218945,0.5579091853390711,0.782066045602079,0.1327454377670201
511,134,46,10,0.1,0.25,0.7432239657631954,0.49342958308398166,0.7432239657631954,0.48540974529346625,0.47512479201331115,0.7903152377991034,-0.019582038334435555
503,128,54,16,0.1,0.25,0.7403708987161198,0.507081587871534,0.7403708987161198,0.5128594068372199,0.49816702854086026,0.7771739508577402,0.019085598706205423
502,125,55,19,0.1,0.25,0.7432239657631954,0.516600588469978,0.7432239657631954,0.528697357644726,0.5111424497892388,0.7768589680782616,0.043652858987052665
492,121,65,23,0.1,0.25,0.7346647646219686,0.5215128166766407,0.7346647646219686,0.5319868752780661,0.5196507515473033,0.7603380796159586,0.052464379684338536
515,124,42,20,0.1,0.25,0.7631954350927247,0.5317424695790943,0.7631954350927247,0.5642637185117876,0.5276893853297399,0.802208558487805,0.09033026358646143
499,124,58,20,0.1,0.25,0.7403708987161198,0.5173798124875324,0.7403708987161198,0.5286866691361074,0.5129714460222935,0.7717035999223673,0.04465731431590704
515,122,42,22,0.1,0.25,0.7660485021398002,0.5386869140235389,0.7660485021398002,0.5761136185243327,0.5370925138513079,0.8032016036876286,0.10852835603419585
509,132,48,12,0.1,0.25,0.7432239657631954,0.49857869539198085,0.7432239657631954,0.49703588143525745,0.4836983207306295,0.7870874550644742,-0.004105077526568165
508,135,49,9,0.1,0.25,0.7375178316690443,0.48726436265709155,0.7375178316690443,0.47260953504585185,0.4678877887788779,0.7839871376581309,-0.03735425160860133
499,114,58,30,0.1,0.25,0.7546362339514978,0.5521020347097546,0.7546362339514978,0.5774692273468782,0.5558060713233127,0.7783771488921768,0.12706383233894566
507,126,50,18,0.1,0.25,0.7489300998573466,0.5176166965888689,0.7489300998573466,0.5328268748257597,0.5109560805454257,0.7859158370101197,0.048095783339756025
520,129,37,15,0.1,0.25,0.7631954350927247,0.5188696888090963,0.7631954350927247,0.5448471020504919,0.5077080583477172,0.8097396700640923,0.058180782383277334
512,117,45,27,0.1,0.25,0.7689015691868759,0.5533550269299821,0.7689015691868759,0.5944952305246423,0.5567032040472176,0.8004031821560624,0.14201120476071105
505,112,52,32,0.1,0.25,0.7660485021398002,0.5644324755635348,0.7660485021398002,0.5997144400710042,0.5705041991691324,0.7908532763009845,0.1603103018923803
498,123,59,21,0.1,0.25,0.7403708987161198,0.519954368641532,0.7403708987161198,0.5322161835748792,0.5165004244482174,0.770408027339067,0.05070911568057202
