tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
865,215,85,35,0.1,0.25,0.75,0.5252631578947369,0.8334736842105264,0.75,0.5462962962962963,0.75,0.5207029689788311,0.7859139928105446,0.06839855680567694
864,216,94,26,0.1,0.25,0.7416666666666667,0.504658465466968,0.822434824617402,0.7416666666666667,0.5083333333333333,0.7416666666666667,0.49576824858083157,0.7774657203736737,0.012461227155953289
852,228,88,32,0.1,0.25,0.7366666666666667,0.5147299509001637,0.828052373158756,0.7366666666666667,0.5277777777777778,0.7366666666666667,0.5059927045336112,0.7760500260552371,0.04045566970313675
865,215,113,7,0.1,0.25,0.7266666666666667,0.4579948046205715,0.7991654230918035,0.7266666666666667,0.42962962962962964,0.7266666666666667,0.4407788177927813,0.7606533340153103,-0.10873676758723619
867,213,95,25,0.1,0.25,0.7433333333333333,0.503144709027062,0.8216268628033333,0.7433333333333333,0.5055555555555555,0.7433333333333333,0.4944161436646075,0.7782172150208746,0.008359570732017242
874,206,90,30,0.1,0.25,0.7533333333333333,0.5168788241085871,0.8286869681412196,0.7533333333333333,0.5296296296296297,0.7533333333333333,0.5118626179115636,0.7865212515666571,0.044726426502509645
864,216,94,26,0.1,0.25,0.7416666666666667,0.504658465466968,0.822434824617402,0.7416666666666667,0.5083333333333333,0.7416666666666667,0.49576824858083157,0.7774657203736737,0.012461227155953289
869,211,91,29,0.1,0.25,0.7483333333333333,0.5130208333333333,0.8267708333333333,0.7483333333333333,0.5231481481481481,0.7483333333333333,0.5065359477124183,0.7828758169934641,0.034722222222222224
874,206,108,12,0.1,0.25,0.7383333333333333,0.47253311907920553,0.8065229170948636,0.7383333333333333,0.4546296296296296,0.7383333333333333,0.4593632883567973,0.7700491853144245,-0.0706026220559918
852,228,80,40,0.1,0.25,0.7433333333333333,0.5317084107360195,0.8376721542502082,0.7433333333333333,0.5611111111111111,0.7433333333333333,0.5265520280379579,0.7828451968600767,0.08803945051272491
863,217,91,29,0.1,0.25,0.7433333333333333,0.5112491690954645,0.8259395612824053,0.7433333333333333,0.5203703703703704,0.7433333333333333,0.5035220916549801,0.7795638086948112,0.03027538543659102
857,223,101,19,0.1,0.25,0.73,0.48654221087320343,0.8129660622163943,0.73,0.4759259259259259,0.73,0.47299649206512717,0.7674157851647427,-0.03599910067275394
863,217,89,31,0.1,0.25,0.745,0.5157563025210083,0.8283613445378151,0.745,0.5287037037037037,0.745,0.5089438548442314,0.7813163300239645,0.042533010193445984
871,209,73,47,0.1,0.25,0.765,0.5531316207627119,0.8487619173728814,0.765,0.5990740740740741,0.765,0.5553359683794467,0.799604743083004,0.14510639036404327
869,211,87,33,0.1,0.25,0.7516666666666667,0.5221208587694629,0.8316208244735578,0.7516666666666667,0.5398148148148147,0.7516666666666667,0.5174766294609123,0.7864029879746971,0.05935445713510785
867,213,83,37,0.1,0.25,0.7533333333333333,0.5303157894736842,0.8361684210526317,0.7533333333333333,0.5555555555555556,0.7533333333333333,0.5270935960591133,0.7887684729064038,0.08207826816681232
854,226,104,16,0.1,0.25,0.725,0.4787781017615901,0.808908021187391,0.725,0.462037037037037,0.725,0.463237167844111,0.7631086700752009,-0.05676781259934276
855,225,91,29,0.1,0.25,0.7366666666666667,0.5089893625876046,0.824842269980523,0.7366666666666667,0.5166666666666666,0.7366666666666667,0.49955392728750836,0.7751328979945203,0.024480417463222406
856,224,90,30,0.1,0.25,0.7383333333333333,0.5114864077508282,0.8261873449751128,0.7383333333333333,0.5212962962962964,0.7383333333333333,0.5027213074945495,0.7765561075008841,0.03128053342522863
857,223,109,11,0.1,0.25,0.7233333333333334,0.46708605404257575,0.8031480596697989,0.7233333333333334,0.4425925925925926,0.7233333333333334,0.4499395264840864,0.7601736335470617,-0.08693685766033281
866,214,96,24,0.1,0.25,0.7416666666666667,0.500524118171177,0.8202711438005555,0.7416666666666667,0.5009259259259259,0.7416666666666667,0.49113313161048155,0.7767770670664647,0.0013932617886695403
873,207,103,17,0.1,0.25,0.7416666666666667,0.4851800351288056,0.8126097775175644,0.7416666666666667,0.475,0.7416666666666667,0.47402949959279694,0.7741833318251741,-0.03849670748413996
860,220,98,22,0.1,0.25,0.735,0.4943063199848169,0.8170241032453976,0.735,0.4898148148148148,0.735,0.48275581628614345,0.7717229002542847,-0.015230388746165129
870,210,88,32,0.1,0.25,0.7516666666666667,0.5201866836901947,0.8305509066754084,0.7516666666666667,0.5361111111111111,0.7516666666666667,0.5152868970228639,0.7860799505527573,0.05399865100913091
864,216,94,26,0.1,0.25,0.7416666666666667,0.504658465466968,0.822434824617402,0.7416666666666667,0.5083333333333333,0.7416666666666667,0.49576824858083157,0.7774657203736737,0.012461227155953289
852,228,84,36,0.1,0.25,0.74,0.5233100233100233,0.8328671328671329,0.74,0.5444444444444444,0.74,0.5163690476190476,0.7794642857142856,0.06437393994470234
872,208,78,42,0.1,0.25,0.7616666666666667,0.5429473684210526,0.8429052631578946,0.7616666666666667,0.5787037037037037,0.7616666666666667,0.543070163759819,0.7959046731460525,0.1162775465696508
878,202,98,22,0.1,0.25,0.75,0.498902224824356,0.8194525761124122,0.75,0.4981481481481482,0.75,0.4909962899285133,0.7814677404759751,-0.002851607961788145
868,212,94,26,0.1,0.25,0.745,0.5057652998829469,0.8229825818061113,0.745,0.5101851851851852,0.745,0.4976991557187334,0.7796573629752844,0.015325879675364943
870,210,88,32,0.1,0.25,0.7516666666666667,0.5201866836901947,0.8305509066754084,0.7516666666666667,0.5361111111111111,0.7516666666666667,0.5152868970228639,0.7860799505527573,0.05399865100913091
880,200,78,42,0.1,0.25,0.7683333333333333,0.5460670473955728,0.8440777101054193,0.7683333333333333,0.5824074074074074,0.7683333333333333,0.5478179777595845,0.80043700085123,0.12322769076442695
859,221,77,43,0.1,0.25,0.7516666666666667,0.5403069153069153,0.8422494172494172,0.7516666666666667,0.5768518518518518,0.7516666666666667,0.5380704365079365,0.789360119047619,0.11131327115438112
875,205,87,33,0.1,0.25,0.7566666666666667,0.5241094358741417,0.832472614825556,0.7566666666666667,0.5425925925925926,0.7566666666666667,0.5206802400976149,0.7897383986561537,0.06409004227879886
873,207,91,29,0.1,0.25,0.7516666666666667,0.5142415078416204,0.827329629369154,0.7516666666666667,0.525,0.7516666666666667,0.508564392356912,0.7850788275907562,0.03773792236149252
875,205,79,41,0.1,0.25,0.7633333333333333,0.5419287211740043,0.8421383647798742,0.7633333333333333,0.575925925925926,0.7633333333333333,0.542208681915631,0.7967406547705402,0.11284461844547562
857,223,87,33,0.1,0.25,0.7416666666666667,0.5183726165254237,0.8299457097457626,0.7416666666666667,0.5342592592592592,0.7416666666666667,0.5111849297788243,0.7797073416869901,0.05017697610719254
880,200,92,28,0.1,0.25,0.7566666666666667,0.5140784058912714,0.8270955165692007,0.7566666666666667,0.524074074074074,0.7566666666666667,0.5093096726490556,0.7880217785843919,0.036819809139719786
871,209,95,25,0.1,0.25,0.7466666666666667,0.5042469607686999,0.8221744439135744,0.7466666666666667,0.5074074074074074,0.7466666666666667,0.496330168828802,0.7803999536093577,0.01121765905294617
875,205,79,41,0.1,0.25,0.7633333333333333,0.5419287211740043,0.8421383647798742,0.7633333333333333,0.575925925925926,0.7633333333333333,0.542208681915631,0.7967406547705402,0.11284461844547562
873,207,99,21,0.1,0.25,0.745,0.4951267056530214,0.8175438596491228,0.745,0.4916666666666667,0.745,0.48578342407743497,0.7778584392014519,-0.012745318548364542
868,212,84,36,0.1,0.25,0.7533333333333333,0.5284629981024668,0.8351043643263756,0.7533333333333333,0.5518518518518518,0.7533333333333333,0.5249914412872304,0.78846285518658,0.07683382486557984
879,201,69,51,0.1,0.25,0.775,0.564798071127185,0.8547317661241711,0.775,0.6194444444444445,0.775,0.5705287268562702,0.807596869631609,0.17595192078358468
