tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
433,104,47,16,0.1,0.25,0.7483333333333333,0.5177083333333333,0.8213645833333333,0.7483333333333333,0.5301498625520972,0.7483333333333333,0.5131937392201428,0.7804747167013233,0.046212717558123374
428,109,54,9,0.1,0.25,0.7283333333333334,0.4821189957099655,0.8027387650327027,0.7283333333333334,0.4699388135142325,0.7283333333333334,0.46974338399145515,0.7622771214331026,-0.046369136481738994
432,113,46,9,0.1,0.25,0.735,0.48876809108992386,0.8276827971740175,0.735,0.4781484570475396,0.735,0.4731348476564441,0.7764774591182463,-0.03133270112752178
424,111,52,13,0.1,0.25,0.7283333333333334,0.4977975060992139,0.805615229962953,0.7283333333333334,0.4962616822429906,0.7283333333333334,0.4881698145793101,0.7628093615729619,-0.005738857746629911
427,116,45,12,0.1,0.25,0.7316666666666667,0.4992055084745763,0.8276244703389831,0.7316666666666667,0.4984491615779781,0.7316666666666667,0.48555452003727867,0.7737726001863934,-0.0022200252103054255
442,97,50,11,0.1,0.25,0.755,0.5001129177958445,0.8173942336645589,0.755,0.5001824873019253,0.755,0.4937987476971286,0.7834836632441645,0.0002870962479938101
440,97,44,19,0.1,0.25,0.765,0.5364420062695925,0.8308346394984326,0.765,0.5604770772368538,0.765,0.5370953003682445,0.7936910904524538,0.09389155505863248
432,103,50,15,0.1,0.25,0.745,0.5116921021168859,0.8129413109220057,0.745,0.5191229331416247,0.745,0.506745974176701,0.7752816867353354,0.029905670837903454
433,118,43,6,0.1,0.25,0.7316666666666667,0.479025481160206,0.8393262627631698,0.7316666666666667,0.45414644986851366,0.7316666666666667,0.4562984392500746,0.7800334513417121,-0.062024387174862056
433,104,47,16,0.1,0.25,0.7483333333333333,0.5177083333333333,0.8213645833333333,0.7483333333333333,0.5301498625520972,0.7483333333333333,0.5131937392201428,0.7804747167013233,0.046212717558123374
432,115,40,13,0.1,0.25,0.7416666666666667,0.5084083686440678,0.8433781338276836,0.7416666666666667,0.5175226794522438,0.7416666666666667,0.49576824858083157,0.7856818966342983,0.024276502916713343
433,106,41,20,0.1,0.25,0.755,0.5361161342174,0.8367669613555689,0.755,0.5656041850421242,0.755,0.5343951095649603,0.7897198980103574,0.0973523405410369
426,101,58,15,0.1,0.25,0.735,0.5047378170418922,0.7888112710173838,0.735,0.5069142990824257,0.735,0.5007300645282842,0.7595099932488657,0.011447040495334456
431,104,45,20,0.1,0.25,0.7516666666666667,0.5333762537272974,0.8248435664588416,0.7516666666666667,0.5566498921639109,0.7516666666666667,0.5321306894007191,0.7831815636464499,0.08696576739123789
432,115,38,15,0.1,0.25,0.745,0.5172667757774141,0.8481497545008184,0.745,0.5363906039805457,0.745,0.5067459741767011,0.7889941486532231,0.05013375706394862
424,119,46,11,0.1,0.25,0.725,0.49337152209492635,0.8244639934533551,0.725,0.48691480081419014,0.725,0.4773822658382208,0.7687677835201208,-0.018626320483297626
431,106,55,8,0.1,0.25,0.7316666666666667,0.4785033571583279,0.801082412822179,0.7316666666666667,0.46479560166711004,0.7316666666666667,0.4665076130357705,0.7636361979554981,-0.05501913766747317
433,122,37,8,0.1,0.25,0.735,0.4914075286415712,0.8567962356792144,0.735,0.478978978978979,0.735,0.46815331010452965,0.7883693379790941,-0.02687917566057806
435,110,51,4,0.1,0.25,0.7316666666666667,0.46507472384665366,0.8162307775611869,0.7316666666666667,0.4354462051709758,0.7316666666666667,0.44558910462066476,0.770828096273892,-0.09496439566806351
421,102,53,24,0.1,0.25,0.7416666666666667,0.5393309222423146,0.7986462728551337,0.7416666666666667,0.5583298154999876,0.7416666666666667,0.5404934013864252,0.7664966162856385,0.09579489418207154
429,122,47,2,0.1,0.25,0.7183333333333334,0.4586947682298726,0.8289747673262854,0.7183333333333334,0.40970035927256565,0.7183333333333334,0.4292822126289603,0.7691034365015489,-0.12214495632658619
432,117,48,3,0.1,0.25,0.725,0.4625,0.825625,0.725,0.422854387656702,0.725,0.4373689325354202,0.7712623395222752,-0.10757249579467186
433,100,49,18,0.1,0.25,0.7516666666666667,0.5254413109220057,0.8150594861335773,0.7516666666666667,0.5405197278149589,0.7516666666666667,0.5238982825189722,0.7796574801402388,0.064214484154758
425,112,39,24,0.1,0.25,0.7483333333333333,0.5462094320486816,0.8383031186612576,0.7483333333333333,0.5861931364724661,0.7483333333333333,0.5451784396508015,0.7853166431558392,0.12622101065808586
437,104,45,14,0.1,0.25,0.7516666666666667,0.5126415359729939,0.8291528354080221,0.7516666666666667,0.5225257683511388,0.7516666666666667,0.5062710207598125,0.7858944281524927,0.03374968509069372
432,103,48,17,0.1,0.25,0.7483333333333333,0.5208333333333334,0.8178472222222222,0.7483333333333333,0.5345075485262402,0.7483333333333333,0.5175076554386899,0.778924688235033,0.05362489201717186
433,112,43,12,0.1,0.25,0.7416666666666667,0.5032190295473028,0.8351489789464173,0.7416666666666667,0.5063386155129275,0.7416666666666667,0.49113313161048155,0.7827279823884642,0.009034199604858257
436,107,40,17,0.1,0.25,0.755,0.5265315803740851,0.8419737733803198,0.755,0.5505961035184647,0.755,0.5217931131702079,0.7922908387054797,0.07327740680771055
436,113,42,9,0.1,0.25,0.7416666666666667,0.4929521915083339,0.8408730022635299,0.7416666666666667,0.4853209043180114,0.7416666666666667,0.47656060921591026,0.7857475333622257,-0.020342610962951504
431,108,47,14,0.1,0.25,0.7416666666666667,0.5082138692640099,0.8216701534170153,0.7416666666666667,0.5145685696036983,0.7416666666666667,0.5002982091332592,0.7769747623729923,0.021878238145555225
441,100,43,16,0.1,0.25,0.7616666666666667,0.5245440296380736,0.8351231357461765,0.7616666666666667,0.5431717785644914,0.7616666666666667,0.5216724738675959,0.7938541231126597,0.06510328448289605
434,125,40,1,0.1,0.25,0.725,0.46177416114124975,0.8535873350746768,0.725,0.40038832409791003,0.725,0.4261235515416408,0.7836708963486385,-0.1234137734855125
437,108,45,10,0.1,0.25,0.745,0.495692383430621,0.8312987903509389,0.745,0.4918265221017515,0.745,0.4833146658711889,0.7836093115927752,-0.011867301095691212
429,112,47,12,0.1,0.25,0.735,0.4990173488750339,0.8221526836541068,0.735,0.49818290046680663,0.735,0.48740267904637563,0.7735943066234667,-0.002672508110721383
421,118,55,6,0.1,0.25,0.7116666666666667,0.46642043914339926,0.7994536685641997,0.7116666666666667,0.4397183612640287,0.7116666666666667,0.4472107575555851,0.7518129853991923,-0.08998290852090003
437,104,45,14,0.1,0.25,0.7516666666666667,0.5126415359729939,0.8291528354080221,0.7516666666666667,0.5225257683511388,0.7516666666666667,0.5062710207598125,0.7858944281524927,0.03374968509069372
443,112,43,2,0.1,0.25,0.7416666666666667,0.46453324669698937,0.844474225687676,0.7416666666666667,0.4213213213213213,0.7416666666666667,0.4381309698584453,0.7891586464393816,-0.10564993680837745
434,109,36,21,0.1,0.25,0.7583333333333333,0.5424713584288052,0.8510270049099836,0.7583333333333333,0.5838422021905593,0.7583333333333333,0.5407298699790424,0.7967959309722272,0.11934642383742552
432,99,34,35,0.1,0.25,0.7783333333333333,0.5941163282300941,0.850466497982192,0.7783333333333333,0.6604028494227463,0.7783333333333333,0.6057136928025455,0.8065959948811953,0.24573585188420152
442,103,48,7,0.1,0.25,0.7483333333333333,0.48283858998144713,0.825187074829932,0.7483333333333333,0.469140950792327,0.7483333333333333,0.46947738252086074,0.7835909822866344,-0.04602541890023715
438,101,42,19,0.1,0.25,0.7616666666666667,0.5354166666666667,0.8358263888888889,0.7616666666666667,0.5620456826545819,0.7616666666666667,0.5348055454648963,0.7936113114182286,0.09375396014426507
422,107,52,19,0.1,0.25,0.735,0.5205445047217199,0.8027876565534794,0.735,0.5326686014004632,0.735,0.5171844871476939,0.764726682895476,0.05181352085021065
425,110,47,18,0.1,0.25,0.7383333333333333,0.5205243644067796,0.818112199858757,0.7383333333333333,0.5356578001437815,0.7383333333333333,0.5153099289429948,0.7728553836443683,0.054105588772144074
439,106,41,14,0.1,0.25,0.755,0.515625,0.8414409722222221,0.755,0.5300250208507089,0.755,0.5082926829268293,0.7927317073170731,0.04331932366934308
441,110,29,20,0.1,0.25,0.7683333333333333,0.5460720130932897,0.8742343153300599,0.7683333333333333,0.604263120856328,0.7683333333333333,0.5436613244764964,0.8115600143722972,0.13861618764401204
434,99,44,23,0.1,0.25,0.7616666666666667,0.5482371904794567,0.8276139767245124,0.7616666666666667,0.5787712469547198,0.7616666666666667,0.5509710643241801,0.7898619419193109,0.12328347243096535
