tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_macro,f1_weighted,matthew
71,20,9,0,0.1,0.25,0.71,0.44375,0.807625,0.71,0.3901098901098901,0.71,0.4152046783625731,0.755672514619883,-0.15724272550828777
72,17,8,3,0.1,0.25,0.75,0.525,0.8175000000000001,0.75,0.5408580183861083,0.75,0.522809696506967,0.7796335178469174,0.06392027721005931
71,20,9,0,0.1,0.25,0.71,0.44375,0.807625,0.71,0.3901098901098901,0.71,0.4152046783625731,0.755672514619883,-0.15724272550828777
72,15,8,5,0.1,0.25,0.77,0.575,0.8155,0.77,0.6061007957559682,0.77,0.5826528760660498,0.7895735801125022,0.17841031003501578
69,18,11,2,0.1,0.25,0.71,0.48125,0.763375,0.71,0.473474801061008,0.71,0.4737797133006714,0.7346797314461986,-0.044602577508753946
74,17,6,3,0.1,0.25,0.77,0.5375,0.85525,0.77,0.5732600732600732,0.77,0.5361968138737648,0.8062230288364589,0.10482848367219184
69,18,11,2,0.1,0.25,0.71,0.48125,0.763375,0.71,0.473474801061008,0.71,0.4737797133006714,0.7346797314461986,-0.044602577508753946
70,17,10,3,0.1,0.25,0.73,0.5125,0.78075,0.73,0.517683465959328,0.73,0.5100707675557975,0.7529776810016331,0.02973505167250263
75,20,5,0,0.1,0.25,0.75,0.46875,0.890625,0.75,0.39473684210526316,0.75,0.4285714285714286,0.8142857142857143,-0.11470786693528089
74,19,6,1,0.1,0.25,0.75,0.48750000000000004,0.86375,0.75,0.4692780337941628,0.75,0.4647827017769214,0.80079212160137,-0.03919309008348103
74,11,6,9,0.1,0.25,0.83,0.6875,0.85375,0.83,0.7352941176470589,0.83,0.7056277056277056,0.8395670995670997,0.42008402520840293
74,19,6,1,0.1,0.25,0.75,0.48750000000000004,0.86375,0.75,0.4692780337941628,0.75,0.4647827017769214,0.80079212160137,-0.03919309008348103
69,18,11,2,0.1,0.25,0.71,0.48125,0.763375,0.71,0.473474801061008,0.71,0.4737797133006714,0.7346797314461986,-0.044602577508753946
76,19,4,1,0.1,0.25,0.77,0.5,0.905,0.77,0.5,0.77,0.4742857142857143,0.8291428571428571,0.0
76,17,4,3,0.1,0.25,0.79,0.5499999999999999,0.8939999999999999,0.79,0.6228878648233487,0.79,0.550417469492614,0.8326653821451511,0.1567723603339241
75,18,5,2,0.1,0.25,0.77,0.51875,0.8788750000000001,0.77,0.5460829493087558,0.77,0.5076000856347677,0.8167287518732604,0.05878963512522154
72,11,8,9,0.1,0.25,0.81,0.675,0.8235000000000001,0.81,0.6984408221119773,0.81,0.6849610346542861,0.815954236445034,0.3727044076455015
66,19,14,1,0.1,0.25,0.67,0.4375,0.70875,0.67,0.4215686274509804,0.67,0.4285714285714286,0.6885714285714286,-0.14002800840280097
71,20,9,0,0.1,0.25,0.71,0.44375,0.807625,0.71,0.3901098901098901,0.71,0.4152046783625731,0.755672514619883,-0.15724272550828777
70,17,10,3,0.1,0.25,0.73,0.5125,0.78075,0.73,0.517683465959328,0.73,0.5100707675557975,0.7529776810016331,0.02973505167250263
72,19,8,1,0.1,0.25,0.73,0.47500000000000003,0.8235000000000001,0.73,0.4511599511599511,0.73,0.45553539019963707,0.7725226860254084,-0.06988565578146122
68,17,12,3,0.1,0.25,0.71,0.5,0.745,0.71,0.5,0.71,0.49783549783549785,0.7263203463203464,0.0
78,15,2,5,0.1,0.25,0.83,0.6125,0.92425,0.83,0.7764976958525346,0.83,0.6360522372083066,0.8645386426889317,0.35273781075132926
71,18,9,2,0.1,0.25,0.73,0.49374999999999997,0.8008749999999999,0.73,0.48978549540347294,0.73,0.4846344722275243,0.7620041992746707,-0.01598006930251483
66,13,14,7,0.1,0.25,0.73,0.5874999999999999,0.72525,0.73,0.5843881856540084,0.73,0.5858260469397147,0.7275563736769444,0.1718600156490827
