index,_feat_msareaASAp,_feat_BalabanIndex,_feat_Refractivity,_feat_AromaticAtomCount,_feat_MinimalProjectionRadius,_feat_ChiralCenterCount,_feat_CarboaromaticRingCount,_feat_molsurfaceareaASAp,_feat_AvgPol,_feat_VanderWaalsSurfaceArea,_feat_LargestRingSize,_feat_MaximalProjectionRadius,_feat_ASA,_feat_AromaticRingCount,_feat_donsitecount,_feat_MolPol,_feat_fr_piperzine,_feat_fr_amidine,_feat_MaximalProjectionArea,_feat_AliphaticRingCount,_feat_maximalprojectionsize,_feat_fr_quatN,_feat_CarboRingCount,_feat_CyclomaticNumber,_feat_ASA_P,_feat_Hdonorcount,_feat_AtomCount_C,_feat_fr_piperdine,_feat_acceptorcount,_feat_WienerPolarity,_feat_LengthPerpendicularToTheMaxArea,_feat_BondCount,_feat_ASA+,_feat_RotatableBondCount,_feat_ASA-,_feat_Protpsa,_feat_Hacceptorcount,_feat_PolarSurfaceArea,_feat_Aliphatic AtomCount,_feat_minimalprojectionsize,_feat_fr_Imine,_feat_RingAtomCount,_feat_MinimalProjectionArea,_feat_ASA_H,_feat_CarboaliphaticRingCount,_feat_WienerIndex,_feat_AtomCount_N,_feat_HeteroaliphaticRingCount,_feat_VanderWaalsVolume,_feat_fr_NH1,_feat_fr_NH2,_feat_molsurfaceareaVDWp,_feat_SmallestRingSize,_feat_ProtPolarSurfaceArea,_feat_ChainAtomCount,_feat_donorcount,_feat_HeteroaromaticRing Count,_feat_fr_NH0,_feat_fr_ArN,_feat_Accsitecount,_feat_fr_guanido,_feat_fr_dihydropyridine,_feat_fr_Ar_NH,_feat_HyperWienerIndex,_feat_fr_pyridine,_feat_msareaVDWp,_feat_LengthPerpendicularToTheMinArea
IPentyl,215.08,2.63,39.63,0,3.18,0,0,215.08,11.82,203.2,0,4.6,282.67,0,3,11.42,0,0,39.83,0,5.3,1,0,0,48.24,1,5,0,0,3,5.3,19,215.08,2,67.59,27.64,0,27.64,6,9.19,0,0,22.8,234.42,0,32,1,0,110.65,0,0,203.2,0,27.64,6,1,0,0,0,0,0,0,0,58,0,203.2,9.19
n-BuNH3I,202.99,2.19,35.09,0,2.69,0,0,202.99,10.0,173.44,0,4.57,273.98,0,3,9.57,0,0,34.38,0,5.42,1,0,0,48.89,1,4,0,0,2,5.42,16,202.99,2,70.99,27.64,0,27.64,5,9.15,0,0,18.77,225.09,0,20,1,0,93.45,0,0,173.44,0,27.64,5,1,0,0,0,0,0,0,0,35,0,173.44,9.15
GnNH3I,120.89,2.32,26.66,0,3.01,0,0,120.89,5.94,95.68,0,3.14,185.35,0,6,5.89,0,0,25.66,0,3.59,0,0,0,115.82,3,1,0,2,0,3.59,9,120.89,0,64.46,77.63,2,77.63,4,6.29,0,0,15.91,69.53,0,9,3,0,57.06,0,3,95.68,0,77.63,4,3,0,0,0,2,1,0,0,12,0,95.68,6.29
4methoxyphenethyl,293.82,1.94,57.04,6,3.45,0,1,293.82,17.7,265.89,6,6.03,370.82,1,3,17.92,0,0,53.7,0,6.17,1,1,1,67.01,1,9,0,1,12,6.17,25,293.82,3,77.0,36.87,1,36.87,5,12.05,0,6,28.03,303.81,0,170,1,0,156.29,0,0,265.89,6,36.87,5,1,0,0,0,2,0,0,0,432,0,265.89,12.05
iPropyl,167.58,2.32,30.38,0,3.16,0,0,167.58,7.93,141.67,0,3.36,227.06,0,3,7.73,0,0,28.47,0,5.24,1,0,0,42.08,1,3,0,0,0,5.24,13,167.58,0,59.48,27.64,0,27.64,4,6.58,0,0,21.99,184.98,0,9,1,0,76.57,0,0,141.67,0,27.64,4,1,0,0,0,0,0,0,0,12,0,141.67,6.58
Diethyl,206.64,2.19,35.61,0,2.8,0,0,206.64,10.0,177.5,0,4.54,287.17,0,2,9.57,0,0,34.28,0,5.73,1,0,0,19.64,1,4,0,0,2,5.73,16,206.64,2,80.53,16.61,0,16.61,5,9.15,0,0,19.22,267.53,0,20,1,0,93.95,0,1,177.5,0,16.61,5,1,0,0,0,0,0,0,0,35,0,177.5,9.15
Diisopropyl,230.8,2.95,44.44,0,3.37,0,0,230.8,13.62,236.93,0,4.49,302.2,0,2,13.27,0,0,41.21,0,6.12,1,0,0,13.65,1,6,0,0,4,6.12,22,230.8,2,71.4,16.61,0,16.61,7,8.46,0,0,28.74,288.54,0,48,1,0,128.14,0,1,236.93,0,16.61,7,1,0,0,0,0,0,0,0,91,0,236.93,8.46
nHexyl,246.47,2.45,44.29,0,2.89,0,0,246.47,14.07,234.33,0,5.85,328.43,0,3,13.27,0,0,45.87,0,5.92,1,0,0,42.47,1,6,0,0,4,5.92,22,246.47,4,81.96,27.64,0,27.64,7,11.69,0,0,20.7,285.95,0,56,1,0,127.43,0,0,234.33,0,27.64,7,1,0,0,0,0,0,0,0,126,0,234.33,11.69
iButyl,189.82,2.54,34.96,0,3.12,0,0,189.82,9.83,172.19,0,3.96,248.05,0,3,9.57,0,0,34.13,0,5.27,1,0,0,42.54,1,4,0,0,2,5.27,16,189.82,1,58.23,27.64,0,27.64,5,7.79,0,0,22.47,205.51,0,18,1,0,93.65,0,0,172.19,0,27.64,5,1,0,0,0,0,0,0,0,28,0,172.19,7.79
4MethoxyPhenyl,244.72,1.94,47.45,6,3.45,0,1,244.72,13.7,204.29,6,5.09,312.97,1,3,14.28,0,0,45.96,0,5.59,1,1,1,70.65,1,7,0,1,9,5.59,19,244.72,1,68.26,36.87,1,36.87,3,10.11,0,6,24.08,242.32,0,90,1,0,122.32,0,0,204.29,6,36.87,3,1,0,0,0,2,0,0,0,187,0,204.29,10.11
neoPentyl,195.11,3.17,39.35,0,3.38,0,0,195.11,11.59,207.49,0,3.96,254.69,0,3,11.42,0,0,34.29,0,6.2,1,0,0,36.88,1,5,0,0,3,6.2,19,195.11,1,59.57,27.64,0,27.64,6,7.87,0,0,27.08,217.8,0,28,1,0,110.9,0,0,207.49,0,27.64,6,1,0,0,0,0,0,0,0,44,0,207.49,7.87
NPropyl,177.81,1.97,30.48,0,2.71,0,0,177.81,8.03,142.9,0,3.94,243.38,0,3,7.73,0,0,28.68,0,5.19,1,0,0,49.49,1,3,0,0,1,5.19,13,177.81,1,65.57,27.64,0,27.64,4,7.6,0,0,18.32,193.89,0,10,1,0,76.51,0,0,142.9,0,27.64,4,1,0,0,0,0,0,0,0,15,0,142.9,7.6
Cyclohexylmethyl,213.57,2.13,46.96,0,3.7,0,0,213.57,14.74,233.86,6,4.78,265.92,0,3,14.37,0,0,45.68,1,5.66,1,1,1,41.18,1,7,0,0,7,5.66,24,213.57,1,52.34,27.64,0,27.64,8,9.33,0,6,28.32,224.73,1,64,1,0,133.35,0,0,233.86,6,27.64,2,1,0,0,0,0,0,0,0,122,0,233.86,9.33
tButyl,175.03,3.02,35.02,0,3.36,0,0,175.03,9.73,177.46,0,3.38,241.69,0,3,9.57,0,0,29.4,0,5.96,1,0,0,34.38,1,4,0,0,0,5.96,16,175.03,0,66.66,27.64,0,27.64,5,5.77,0,0,25.82,207.3,0,16,1,0,93.72,0,0,177.46,0,27.64,5,1,0,0,0,0,0,0,0,22,0,177.46,5.77
Benzyl,196.91,2.13,45.82,6,3.52,0,1,196.91,12.63,186.95,6,4.68,272.92,1,3,13.66,0,0,42.12,0,5.0,1,1,1,45.88,1,7,0,0,7,5.0,18,196.91,1,76.01,27.64,0,27.64,2,9.2,0,6,24.65,227.04,0,64,1,0,113.17,0,0,186.95,6,27.64,2,1,0,0,0,0,0,0,0,122,0,186.95,9.2
MeNH3I,136.92,1.0,21.21,0,2.33,0,0,136.92,4.23,81.16,0,2.67,191.44,0,3,4.04,0,0,17.05,0,5.08,1,0,0,61.9,1,1,0,0,0,5.08,7,136.92,0,54.52,27.64,0,27.64,2,4.81,0,0,13.88,129.54,0,1,1,0,42.58,0,0,81.16,0,27.64,2,1,0,0,0,0,0,0,0,1,0,81.16,4.81
4FluoroPhenethyl,207.04,2.13,50.8,6,3.37,0,1,207.04,14.8,224.66,6,5.49,311.27,1,3,15.04,0,0,48.87,0,5.08,1,1,1,80.92,1,8,0,0,10,5.08,21,207.04,2,104.23,27.64,0,27.64,4,10.8,0,6,25.38,230.35,0,127,1,0,135.05,0,0,224.66,6,27.64,4,1,0,0,0,0,0,0,0,296,0,224.66,10.8
4FluoroPhenyl,223.51,2.19,41.21,6,3.35,0,1,223.51,10.83,163.01,6,4.29,256.13,1,3,11.42,0,0,40.17,0,3.97,1,1,1,84.41,1,6,0,0,7,3.97,15,223.51,0,32.62,27.64,0,27.64,2,8.57,0,6,20.46,171.72,0,62,1,0,101.09,0,0,163.01,6,27.64,2,1,0,0,0,0,0,0,0,115,0,163.01,8.57
Phenyl,179.39,1.82,40.99,6,3.4,0,1,179.39,10.73,155.97,6,4.01,249.23,1,3,11.79,0,0,38.57,0,3.87,1,1,1,51.71,1,6,0,0,5,3.87,15,179.39,0,69.84,27.64,0,27.64,1,8.0,0,6,20.14,197.52,0,42,1,0,96.22,0,0,155.97,6,27.64,1,1,0,0,0,0,0,0,0,71,0,155.97,8.0
NNDiethylpropane13di,285.85,3.09,64.61,0,4.32,0,0,285.85,17.53,294.02,0,5.42,359.43,0,4,16.56,0,0,55.8,0,6.0,2,0,0,54.74,2,7,0,0,8,6.0,28,285.85,5,73.58,32.08,0,32.08,9,10.69,0,0,34.16,304.69,0,104,2,0,160.34,1,0,294.02,0,32.08,9,2,0,0,0,0,0,0,0,242,0,294.02,10.69
4TrifluoromethylBenzyl,177.72,2.36,51.8,6,3.52,0,1,177.72,15.12,236.68,6,5.39,326.91,1,3,14.75,0,0,50.8,0,5.23,1,1,1,149.38,1,8,0,0,15,5.23,21,177.72,2,149.19,27.64,0,27.64,6,10.59,0,6,27.16,177.53,0,201,1,0,145.09,0,0,236.68,6,27.64,6,1,0,0,0,0,0,0,0,496,0,236.68,10.59
4TrifluoromethylPhenyl,189.88,2.18,46.96,6,3.48,0,1,189.88,13.18,206.0,6,4.78,302.03,1,3,12.94,0,0,46.91,0,5.02,1,1,1,155.76,1,7,0,0,13,5.02,18,189.88,1,112.15,27.64,0,27.64,5,9.5,0,6,23.91,146.27,0,152,1,0,128.06,0,0,206.0,6,27.64,5,1,0,0,0,0,0,0,0,340,0,206.0,9.5
TertOctyl,239.21,3.75,53.17,0,3.39,0,0,239.21,17.19,301.19,0,4.64,304.39,0,3,16.96,0,0,45.62,0,6.06,1,0,0,21.36,1,8,0,0,6,6.06,28,239.21,2,65.18,27.64,0,27.64,9,9.14,0,0,31.48,283.03,0,88,1,0,162.42,0,0,301.19,0,27.64,9,1,0,0,0,0,0,0,0,173,0,301.19,9.14
nDodecyl,398.73,2.76,71.89,0,4.07,0,0,398.73,26.67,417.97,0,9.65,524.51,0,3,24.35,0,0,80.65,0,7.19,1,0,0,42.78,1,12,0,0,10,7.19,40,398.73,10,125.78,27.64,0,27.64,13,19.06,0,0,32.95,481.73,0,364,1,0,229.29,0,0,417.97,0,27.64,13,1,0,0,0,0,0,0,0,1365,0,417.97,19.06
FormamidiniumIodide,123.82,1.63,33.86,0,2.41,0,0,123.82,4.78,78.34,0,3.09,176.28,0,4,4.77,0,0,19.81,0,3.88,1,0,0,143.13,2,1,0,1,0,3.88,7,146.92,0,29.36,51.61,1,51.49,3,5.69,0,0,13.66,33.15,0,4,2,0,47.38,1,0,78.12,0,51.61,3,2,0,0,0,1,0,0,0,5,0,78.12,5.69
PhEtNH3I,218.15,1.85,50.58,6,3.37,0,1,218.15,14.69,217.67,6,5.03,304.55,1,3,15.43,0,0,46.76,0,5.96,1,1,1,48.41,1,8,0,0,8,5.96,21,218.15,2,86.4,27.64,0,27.64,3,10.13,0,6,24.96,256.14,0,94,1,0,130.2,0,0,217.67,6,27.64,3,1,0,0,0,0,0,0,0,203,0,217.67,10.13
