,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
IPentyl,1.0,0.8235294117647058,0.13333333333333333,0.06666666666666667,0.5333333333333333,0.375,0.3902439024390244,0.6666666666666666,0.7058823529411765,0.0,0.631578947368421,0.6666666666666666,0.4864864864864865,0.5882352941176471,0.04878048780487805,0.18181818181818182,0.09523809523809523,0.0,0.0,0.3125,0.03680981595092025,0.012903225806451613,0.5405405405405406,0.5833333333333334,0.15384615384615385,0.11650485436893204,0.07272727272727272
n-BuNH3I,0.8235294117647058,1.0,0.16666666666666666,0.06896551724137931,0.6666666666666666,0.46153846153846156,0.45714285714285713,0.7777777777777778,0.7142857142857143,0.0,0.625,0.8333333333333334,0.4117647058823529,0.5714285714285714,0.05263157894736842,0.25,0.09929078014184398,0.0,0.0,0.3448275862068966,0.03821656050955414,0.013422818791946308,0.4117647058823529,0.6666666666666666,0.2,0.12371134020618557,0.08163265306122448
GnNH3I,0.13333333333333333,0.16666666666666666,1.0,0.023529411764705882,0.2,0.18181818181818182,0.12903225806451613,0.125,0.16666666666666666,0.0,0.14285714285714285,0.2,0.0625,0.16666666666666666,0.05555555555555555,0.3333333333333333,0.043795620437956206,0.023255813953488372,0.0,0.07407407407407407,0.026143790849673203,0.013793103448275862,0.0625,0.10526315789473684,0.75,0.043010752688172046,0.3111111111111111
4methoxyphenethyl,0.06666666666666667,0.06896551724137931,0.023529411764705882,1.0,0.07058823529411765,0.08139534883720931,0.07734806629834254,0.06593406593406594,0.06896551724137931,0.5093632958801498,0.06741573033707865,0.07058823529411765,0.08411214953271028,0.06896551724137931,0.3783783783783784,0.024691358024691357,0.5853658536585366,0.1440677966101695,0.15151515151515152,0.06862745098039216,0.33003300330033003,0.2983050847457627,0.07476635514018691,0.06382978723404255,0.024096385542168676,0.6831275720164609,0.03076923076923077
iPropyl,0.5333333333333333,0.6666666666666666,0.2,0.07058823529411765,1.0,0.6363636363636364,0.6451612903225806,0.5,0.6666666666666666,0.0,0.5714285714285714,0.8,0.25,0.8333333333333334,0.05555555555555555,0.3333333333333333,0.08759124087591241,0.0,0.0,0.3333333333333333,0.0392156862745098,0.013793103448275862,0.3125,0.42105263157894735,0.25,0.12903225806451613,0.08888888888888889
Diethyl,0.375,0.46153846153846156,0.18181818181818182,0.08139534883720931,0.6363636363636364,1.0,0.7272727272727273,0.35294117647058826,0.46153846153846156,0.0,0.4,0.5454545454545454,0.18181818181818182,0.5384615384615384,0.05405405405405406,0.2857142857142857,0.08633093525179857,0.0,0.0,0.42857142857142855,0.03870967741935484,0.027210884353741496,0.21212121212121213,0.3,0.2222222222222222,0.12631578947368421,0.1702127659574468
Diisopropyl,0.3902439024390244,0.45714285714285713,0.12903225806451613,0.07734806629834254,0.6451612903225806,0.7272727272727273,1.0,0.37209302325581395,0.45714285714285713,0.0,0.41025641025641024,0.5161290322580645,0.21333333333333335,0.5714285714285714,0.04819277108433735,0.17391304347826086,0.08108108108108109,0.0,0.0,0.4307692307692308,0.036585365853658534,0.02564102564102564,0.26666666666666666,0.32653061224489793,0.14814814814814814,0.11538461538461539,0.17857142857142858
nHexyl,0.6666666666666666,0.7777777777777778,0.125,0.06593406593406594,0.5,0.35294117647058826,0.37209302325581395,1.0,0.5555555555555556,0.015503875968992248,0.5,0.625,0.5789473684210527,0.4444444444444444,0.047619047619047616,0.16666666666666666,0.09395973154362416,0.02040816326530612,0.03333333333333333,0.30303030303030304,0.048484848484848485,0.025477707006369428,0.42105263157894735,0.88,0.14285714285714285,0.11428571428571428,0.07017543859649122
iButyl,0.7058823529411765,0.7142857142857143,0.16666666666666666,0.06896551724137931,0.6666666666666666,0.46153846153846156,0.45714285714285713,0.5555555555555556,1.0,0.0,0.875,0.8333333333333334,0.4117647058823529,0.7142857142857143,0.05263157894736842,0.25,0.0851063829787234,0.0,0.0,0.3448275862068966,0.03821656050955414,0.013422818791946308,0.35294117647058826,0.47619047619047616,0.2,0.12371134020618557,0.08163265306122448
4MethoxyPhenyl,0.0,0.0,0.0,0.5093632958801498,0.0,0.0,0.0,0.015503875968992248,0.0,1.0,0.0,0.0,0.024844720496894408,0.0,0.16568047337278108,0.0,0.15384615384615385,0.4262295081967213,0.5241379310344828,0.026490066225165563,0.168,0.35537190082644626,0.0,0.014814814814814815,0.0,0.17894736842105263,0.028169014084507043
neoPentyl,0.631578947368421,0.625,0.14285714285714285,0.06741573033707865,0.5714285714285714,0.4,0.41025641025641024,0.5,0.875,0.0,1.0,0.7142857142857143,0.3888888888888889,0.625,0.05,0.2,0.08275862068965517,0.0,0.0,0.3548387096774194,0.037267080745341616,0.013071895424836602,0.3888888888888889,0.43478260869565216,0.16666666666666666,0.1188118811881188,0.07547169811320754
NPropyl,0.6666666666666666,0.8333333333333334,0.2,0.07058823529411765,0.8,0.5454545454545454,0.5161290322580645,0.625,0.8333333333333334,0.0,0.7142857142857143,1.0,0.3125,0.6666666666666666,0.05555555555555555,0.3333333333333333,0.08759124087591241,0.0,0.0,0.37037037037037035,0.0392156862745098,0.013793103448275862,0.3125,0.5263157894736842,0.25,0.12903225806451613,0.08888888888888889
Cyclohexylmethyl,0.4864864864864865,0.4117647058823529,0.0625,0.08411214953271028,0.25,0.18181818181818182,0.21333333333333335,0.5789473684210527,0.4117647058823529,0.024844720496894408,0.3888888888888889,0.3125,1.0,0.29411764705882354,0.034482758620689655,0.07142857142857142,0.08839779005524862,0.03076923076923077,0.043478260869565216,0.20408163265306123,0.06091370558375635,0.05291005291005291,0.4074074074074074,0.6341463414634146,0.06666666666666667,0.10218978102189781,0.06741573033707865
tButyl,0.5882352941176471,0.5714285714285714,0.16666666666666666,0.06896551724137931,0.8333333333333334,0.5384615384615384,0.5714285714285714,0.4444444444444444,0.7142857142857143,0.0,0.625,0.6666666666666666,0.29411764705882354,1.0,0.05263157894736842,0.25,0.0851063829787234,0.0,0.0,0.3448275862068966,0.03821656050955414,0.013422818791946308,0.4117647058823529,0.38095238095238093,0.2,0.12371134020618557,0.08163265306122448
Benzyl,0.04878048780487805,0.05263157894736842,0.05555555555555555,0.3783783783783784,0.05555555555555555,0.05405405405405406,0.04819277108433735,0.047619047619047616,0.05263157894736842,0.16568047337278108,0.05,0.05555555555555555,0.034482758620689655,0.05263157894736842,1.0,0.0625,0.455026455026455,0.2028985507246377,0.26,0.03773584905660377,0.6048780487804878,0.39593908629441626,0.034482758620689655,0.044444444444444446,0.058823529411764705,0.5793103448275863,0.041237113402061855
MeNH3I,0.18181818181818182,0.25,0.3333333333333333,0.024691358024691357,0.3333333333333333,0.2857142857142857,0.17391304347826086,0.16666666666666666,0.25,0.0,0.2,0.3333333333333333,0.07142857142857142,0.25,0.0625,1.0,0.031007751937984496,0.0,0.0,0.08695652173913043,0.027586206896551724,0.014598540145985401,0.07142857142857142,0.13333333333333333,0.5,0.047058823529411764,0.10810810810810811
4FluoroPhenethyl,0.09523809523809523,0.09929078014184398,0.043795620437956206,0.5853658536585366,0.08759124087591241,0.08633093525179857,0.08108108108108109,0.09395973154362416,0.0851063829787234,0.15384615384615385,0.08275862068965517,0.08759124087591241,0.08839779005524862,0.0851063829787234,0.455026455026455,0.031007751937984496,1.0,0.4039408866995074,0.18181818181818182,0.08187134502923976,0.34074074074074073,0.32061068702290074,0.08839779005524862,0.09032258064516129,0.03007518796992481,0.7904761904761904,0.037037037037037035
