tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,recall_micro,recall_macro,f1_macro,f1_weighted,matthew
56,13,4,2,0.1,0.25,0.7733333333333333,0.5333333333333333,0.7733333333333333,0.572463768115942,0.5293466223698782,0.8139977851605759,0.09829463743659808
58,13,2,2,0.1,0.25,0.8,0.55,0.8,0.6584507042253521,0.5480112494977903,0.8494977902772198,0.178017248729078
55,10,5,5,0.1,0.25,0.8,0.625,0.8,0.6730769230769231,0.6399999999999999,0.816,0.294174202707276
55,12,5,3,0.1,0.25,0.7733333333333333,0.5583333333333333,0.7733333333333333,0.5979477611940298,0.563505648750428,0.8015793677964168,0.15117697447673803
54,7,6,8,0.1,0.25,0.8266666666666667,0.7166666666666667,0.8266666666666667,0.7283372365339578,0.7221430607010544,0.828938918970267,0.4448508420389507
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
51,6,9,9,0.1,0.25,0.8,0.725,0.8,0.6973684210526316,0.7086247086247086,0.7934731934731934,0.4214636152117623
54,11,6,4,0.1,0.25,0.7733333333333333,0.5833333333333334,0.7733333333333333,0.6153846153846154,0.5920000000000001,0.7914666666666668,0.19611613513818402
55,14,5,1,0.1,0.25,0.7466666666666667,0.49166666666666664,0.7466666666666667,0.48188405797101447,0.4739756367663344,0.7921151716500553,-0.02457365935914952
52,15,8,0,0.1,0.25,0.6933333333333334,0.43333333333333335,0.6933333333333334,0.3880597014925373,0.4094488188976378,0.7315485564304463,-0.17277368511627203
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
54,15,6,0,0.1,0.25,0.72,0.45,0.72,0.391304347826087,0.4186046511627907,0.770232558139535,-0.14744195615489714
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
54,11,6,4,0.1,0.25,0.7733333333333333,0.5833333333333334,0.7733333333333333,0.6153846153846154,0.5920000000000001,0.7914666666666668,0.19611613513818402
57,14,3,1,0.1,0.25,0.7733333333333333,0.5083333333333333,0.7733333333333333,0.5264084507042254,0.4877460827641623,0.8294308289808491,0.02966954145484633
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
52,11,8,4,0.1,0.25,0.7466666666666667,0.5666666666666667,0.7466666666666667,0.5793650793650793,0.5709123757904245,0.7576513098464318,0.14547859349066158
52,11,8,4,0.1,0.25,0.7466666666666667,0.5666666666666667,0.7466666666666667,0.5793650793650793,0.5709123757904245,0.7576513098464318,0.14547859349066158
53,12,7,3,0.1,0.25,0.7466666666666667,0.5416666666666666,0.7466666666666667,0.5576923076923077,0.544,0.7669333333333332,0.09805806756909201
57,12,3,3,0.1,0.25,0.8,0.575,0.8,0.6630434782608696,0.584717607973422,0.8358803986710964,0.22116293423234568
55,12,5,3,0.1,0.25,0.7733333333333333,0.5583333333333333,0.7733333333333333,0.5979477611940298,0.563505648750428,0.8015793677964168,0.15117697447673803
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
53,12,7,3,0.1,0.25,0.7466666666666667,0.5416666666666666,0.7466666666666667,0.5576923076923077,0.544,0.7669333333333332,0.09805806756909201
53,12,7,3,0.1,0.25,0.7466666666666667,0.5416666666666666,0.7466666666666667,0.5576923076923077,0.544,0.7669333333333332,0.09805806756909201
50,15,10,0,0.1,0.25,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.38461538461538464,0.4,0.6933333333333334,-0.19611613513818402
55,14,5,1,0.1,0.25,0.7466666666666667,0.49166666666666664,0.7466666666666667,0.48188405797101447,0.4739756367663344,0.7921151716500553,-0.02457365935914952
57,10,3,5,0.1,0.25,0.8266666666666667,0.6416666666666666,0.8266666666666667,0.7378731343283582,0.6662102019856213,0.8482665753737304,0.36714408087207806
59,12,1,3,0.1,0.25,0.8266666666666667,0.5916666666666667,0.8266666666666667,0.7904929577464789,0.6082764162314183,0.8695647515735904,0.32636495600330967
53,12,7,3,0.1,0.25,0.7466666666666667,0.5416666666666666,0.7466666666666667,0.5576923076923077,0.544,0.7669333333333332,0.09805806756909201
51,14,9,1,0.1,0.25,0.6933333333333334,0.4583333333333333,0.6933333333333334,0.4423076923076923,0.44799999999999995,0.7178666666666667,-0.09805806756909201
54,11,6,4,0.1,0.25,0.7733333333333333,0.5833333333333334,0.7733333333333333,0.6153846153846154,0.5920000000000001,0.7914666666666668,0.19611613513818402
52,15,8,0,0.1,0.25,0.6933333333333334,0.43333333333333335,0.6933333333333334,0.3880597014925373,0.4094488188976378,0.7315485564304463,-0.17277368511627203
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
56,13,4,2,0.1,0.25,0.7733333333333333,0.5333333333333333,0.7733333333333333,0.572463768115942,0.5293466223698782,0.8139977851605759,0.09829463743659808
52,15,8,0,0.1,0.25,0.6933333333333334,0.43333333333333335,0.6933333333333334,0.3880597014925373,0.4094488188976378,0.7315485564304463,-0.17277368511627203
52,11,8,4,0.1,0.25,0.7466666666666667,0.5666666666666667,0.7466666666666667,0.5793650793650793,0.5709123757904245,0.7576513098464318,0.14547859349066158
52,11,8,4,0.1,0.25,0.7466666666666667,0.5666666666666667,0.7466666666666667,0.5793650793650793,0.5709123757904245,0.7576513098464318,0.14547859349066158
52,13,8,2,0.1,0.25,0.72,0.5,0.72,0.5,0.496,0.7424,0.0
