tn,fp,fn,tp,imbalance,percentil_tp,precision_micro,precision_macro,recall_micro,recall_macro,f1_macro,f1_weighted,matthew
56,11,6,2,0.1,0.25,0.7733333333333333,0.5285359801488834,0.7733333333333333,0.542910447761194,0.5293466223698782,0.7959246954595791,0.06998547522145233
58,9,6,2,0.1,0.25,0.8,0.5440340909090909,0.8,0.5578358208955223,0.5480112494977903,0.8134993973483327,0.10093062558243326
55,12,3,5,0.1,0.25,0.8,0.6211967545638946,0.8,0.7229477611940298,0.6399999999999999,0.8288,0.32875854418708333
55,12,5,3,0.1,0.25,0.7733333333333333,0.5583333333333333,0.7733333333333333,0.5979477611940298,0.563505648750428,0.8015793677964168,0.15117697447673803
54,13,0,8,0.1,0.25,0.8266666666666667,0.6904761904761905,0.8266666666666667,0.9029850746268657,0.7221430607010544,0.8562059466134699,0.5541085158475322
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
52,15,0,8,0.1,0.25,0.8,0.6739130434782609,0.8,0.8880597014925373,0.6950393060449986,0.8357820547573869,0.519571530158582
52,15,4,4,0.1,0.25,0.7466666666666667,0.5695488721804511,0.7466666666666667,0.6380597014925373,0.5709123757904246,0.7869436916591388,0.1959785348692628
56,11,6,2,0.1,0.25,0.7733333333333333,0.5285359801488834,0.7733333333333333,0.542910447761194,0.5293466223698782,0.7959246954595791,0.06998547522145233
51,16,7,1,0.1,0.25,0.6933333333333334,0.46906693711967545,0.6933333333333334,0.4430970149253731,0.448,0.7374933333333334,-0.08390908449963215
52,15,8,0,0.1,0.25,0.6933333333333334,0.43333333333333335,0.6933333333333334,0.3880597014925373,0.4094488188976378,0.7315485564304463,-0.17277368511627203
55,12,7,1,0.1,0.25,0.7466666666666667,0.4820099255583127,0.7466666666666667,0.47294776119402987,0.4739756367663344,0.7719158361018825,-0.04412127785700256
53,14,5,3,0.1,0.25,0.7466666666666667,0.545131845841785,0.7466666666666667,0.5830223880597014,0.544,0.7831466666666667,0.1224247298437256
57,10,7,1,0.1,0.25,0.7733333333333333,0.49076704545454547,0.7733333333333333,0.4878731343283582,0.4877460827641623,0.7886326503281104,-0.02116287310599407
55,12,7,1,0.1,0.25,0.7466666666666667,0.4820099255583127,0.7466666666666667,0.47294776119402987,0.4739756367663344,0.7719158361018825,-0.04412127785700256
53,14,5,3,0.1,0.25,0.7466666666666667,0.545131845841785,0.7466666666666667,0.5830223880597014,0.544,0.7831466666666667,0.1224247298437256
54,13,4,4,0.1,0.25,0.7733333333333333,0.5831643002028397,0.7733333333333333,0.6529850746268657,0.592,0.8059733333333333,0.22559163701540447
50,17,6,2,0.1,0.25,0.6933333333333334,0.49906015037593987,0.6933333333333334,0.498134328358209,0.4805781391147245,0.7420897320084312,-0.002648358579314362
53,14,5,3,0.1,0.25,0.7466666666666667,0.545131845841785,0.7466666666666667,0.5830223880597014,0.544,0.7831466666666667,0.1224247298437256
59,8,5,3,0.1,0.25,0.8266666666666667,0.5973011363636364,0.8266666666666667,0.6277985074626866,0.6082764162314183,0.8383661443685549,0.22302412427086057
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
53,14,5,3,0.1,0.25,0.7466666666666667,0.545131845841785,0.7466666666666667,0.5830223880597014,0.544,0.7831466666666667,0.1224247298437256
53,14,5,3,0.1,0.25,0.7466666666666667,0.545131845841785,0.7466666666666667,0.5830223880597014,0.544,0.7831466666666667,0.1224247298437256
50,17,8,0,0.1,0.25,0.6666666666666666,0.43103448275862066,0.6666666666666666,0.373134328358209,0.39999999999999997,0.7146666666666666,-0.18707599167131103
55,12,7,1,0.1,0.25,0.7466666666666667,0.4820099255583127,0.7466666666666667,0.47294776119402987,0.4739756367663344,0.7719158361018825,-0.04412127785700256
57,10,3,5,0.1,0.25,0.8266666666666667,0.6416666666666666,0.8266666666666667,0.7378731343283582,0.6662102019856213,0.8482665753737304,0.36714408087207806
59,8,5,3,0.1,0.25,0.8266666666666667,0.5973011363636364,0.8266666666666667,0.6277985074626866,0.6082764162314183,0.8383661443685549,0.22302412427086057
53,14,5,3,0.1,0.25,0.7466666666666667,0.545131845841785,0.7466666666666667,0.5830223880597014,0.544,0.7831466666666667,0.1224247298437256
51,16,7,1,0.1,0.25,0.6933333333333334,0.46906693711967545,0.6933333333333334,0.4430970149253731,0.448,0.7374933333333334,-0.08390908449963215
54,13,4,4,0.1,0.25,0.7733333333333333,0.5831643002028397,0.7733333333333333,0.6529850746268657,0.592,0.8059733333333333,0.22559163701540447
52,15,8,0,0.1,0.25,0.6933333333333334,0.43333333333333335,0.6933333333333334,0.3880597014925373,0.4094488188976378,0.7315485564304463,-0.17277368511627203
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
56,11,6,2,0.1,0.25,0.7733333333333333,0.5285359801488834,0.7733333333333333,0.542910447761194,0.5293466223698782,0.7959246954595791,0.06998547522145233
52,15,8,0,0.1,0.25,0.6933333333333334,0.43333333333333335,0.6933333333333334,0.3880597014925373,0.4094488188976378,0.7315485564304463,-0.17277368511627203
52,15,4,4,0.1,0.25,0.7466666666666667,0.5695488721804511,0.7466666666666667,0.6380597014925373,0.5709123757904246,0.7869436916591388,0.1959785348692628
52,15,4,4,0.1,0.25,0.7466666666666667,0.5695488721804511,0.7466666666666667,0.6380597014925373,0.5709123757904246,0.7869436916591388,0.1959785348692628
52,15,6,2,0.1,0.25,0.72,0.5070993914807302,0.72,0.5130597014925373,0.496,0.7603200000000001,0.019257822672046725
48,19,4,4,0.1,0.25,0.6933333333333334,0.548494983277592,0.6933333333333334,0.6082089552238805,0.5323936026023313,0.7481991506279931,0.14488052283268155
56,11,4,4,0.1,0.25,0.8,0.6,0.8,0.667910447761194,0.6148579253680246,0.8249229715850736,0.25916052767440806
54,13,4,4,0.1,0.25,0.7733333333333333,0.5831643002028397,0.7733333333333333,0.6529850746268657,0.592,0.8059733333333333,0.22559163701540447
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
53,14,7,1,0.1,0.25,0.72,0.475,0.72,0.45802238805970147,0.4608010955152345,0.754892160219103,-0.06479013191860201
54,13,6,2,0.1,0.25,0.7466666666666667,0.5166666666666667,0.7466666666666667,0.5279850746268657,0.5121533721328313,0.77823576400776,0.04319342127906801
48,19,8,0,0.1,0.25,0.64,0.42857142857142855,0.64,0.3582089552238806,0.39024390243902435,0.6972357723577235,-0.20127525202789154
51,16,7,1,0.1,0.25,0.6933333333333334,0.46906693711967545,0.6933333333333334,0.4430970149253731,0.448,0.7374933333333334,-0.08390908449963215
55,12,7,1,0.1,0.25,0.7466666666666667,0.4820099255583127,0.7466666666666667,0.47294776119402987,0.4739756367663344,0.7719158361018825,-0.04412127785700256
55,12,5,3,0.1,0.25,0.7733333333333333,0.5583333333333333,0.7733333333333333,0.5979477611940298,0.563505648750428,0.8015793677964168,0.15117697447673803
56,11,8,0,0.1,0.25,0.7466666666666667,0.4375,0.7466666666666667,0.417910447761194,0.42748091603053434,0.7637659033078881,-0.1432563717944214
57,10,5,3,0.1,0.25,0.8,0.575062034739454,0.8,0.6128731343283582,0.5847176079734219,0.8199335548172757,0.18409222829990723
54,13,2,6,0.1,0.25,0.8,0.6400375939849624,0.8,0.7779850746268657,0.6612466124661246,0.8317976513098464,0.39460542831783996
