feature,importance
_rxn_M_inorganic,0.29291098207688826
_rxn_M_organic,0.27168794430646814
_rxn_M_acid,0.25345365234444567
_feat_VanderWaalsVolume,0.011750123532540848
_feat_ASA,0.011727390295406507
_feat_VanderWaalsSurfaceArea,0.010997021860300887
_feat_ASA_H,0.009795187006259662
_feat_LengthPerpendicularToTheMinArea,0.008949276038766323
_feat_AvgPol,0.008417892239810104
_feat_minimalprojectionsize,0.008393341694464816
_feat_MolPol,0.00827277853442609
_feat_MinimalProjectionArea,0.007905925919432162
_feat_LengthPerpendicularToTheMaxArea,0.0069203746741992546
_feat_ASA-,0.006372910123280244
_feat_MaximalProjectionArea,0.006364704793369841
_feat_ASA+,0.006042396370654094
_feat_MinimalProjectionRadius,0.005707587042373547
_feat_maximalprojectionsize,0.005382298680377405
_feat_BondCount,0.004863718540988515
_feat_AtomCount_C,0.00458229987853677
_feat_Refractivity,0.003928027630236454
_feat_ASA_P,0.003618012468881881
_feat_MaximalProjectionRadius,0.0035567108560233783
_feat_Aliphatic AtomCount,0.003384736662294102
_feat_BalabanIndex,0.003291313229377864
_feat_ChainAtomCount,0.002968021481271605
_feat_WienerPolarity,0.0028943628016446315
_feat_CarboaliphaticRingCount,0.0025738915680264536
_feat_WienerIndex,0.002310248467224234
_feat_HyperWienerIndex,0.0020105270382356905
_feat_Hdonorcount,0.0016863608404508559
_feat_RotatableBondCount,0.0015735835098750195
_feat_PolarSurfaceArea,0.0014250324630431072
_feat_donsitecount,0.0011932080308312213
solvent_Dimethylformamide,0.0011918900041542613
_feat_AtomCount_N,0.0011620256070157256
_feat_CarboaromaticRingCount,0.000957518682735116
_feat_fr_quatN,0.0008882705460576957
_feat_acceptorcount,0.000763566119831567
_feat_SmallestRingSize,0.0007605441293984598
_feat_LargestRingSize,0.0007532806572403231
_feat_Accsitecount,0.000747923053599157
solvent_Gamma-Butyrolactone,0.0007259968322861395
_feat_fr_NH2,0.0006980307456577297
_feat_AliphaticRingCount,0.0005785136326268974
_feat_donorcount,0.0005031973349420054
_feat_Hacceptorcount,0.00047827541419631875
solvent_Dimethyl sulfoxide,0.0004190881981953281
_feat_RingAtomCount,0.0003248086459015325
_feat_fr_NH1,0.00031122154773876405
_feat_fr_amidine,0.0003099902437197988
_feat_CarboRingCount,0.00028069548632980045
_feat_HeteroaliphaticRingCount,0.000265816153682228
_feat_fr_guanido,0.00022039715924035232
_feat_fr_NH0,0.00014024429763572765
_feat_CyclomaticNumber,0.00013899745945480455
_feat_AromaticAtomCount,0.0001373661813879095
_feat_AromaticRingCount,0.00011759932737290126
_feat_fr_Ar_NH,8.802022888818641e-05
_feat_fr_Imine,5.046850314038588e-05
_feat_fr_pyridine,4.4152070464225804e-05
_feat_fr_piperdine,2.9889883928866383e-05
_feat_HeteroaromaticRing Count,3.688527721082921e-07
